cell_type,gene_id,donor,n_cells_expressing_gene,n_cells_total_donor
Excitatory_neuron,CAMK2B,PO05,42,1197
Excitatory_neuron,CAMK2B,PO11,37,1165
Excitatory_neuron,CAMK2B,PO13,12,777
Excitatory_neuron,CAMK2B,PO15,105,744
Excitatory_neuron,CAMK2B,PO20,33,1454
Excitatory_neuron,CAMK2B,PO23,318,1605
Excitatory_neuron,CAMK2B,PO28,193,1851
Excitatory_neuron,CAMK2B,PO41,119,973
Excitatory_neuron,CAMK2B,PO42,30,1303
Excitatory_neuron,CAMK2B,SMC027,31,129
Excitatory_neuron,CAMK2B,SMC029,8,150
Excitatory_neuron,CAMK2B,SMC030,122,915
Excitatory_neuron,CAMK2B,SMC031,25,389
Excitatory_neuron,CAMK2B,SMC032,64,578
Excitatory_neuron,CAMK2B,SMC033,262,2797
Excitatory_neuron,CAMK2B,SMC035,275,1589
Excitatory_neuron,CAMK2B,SMC036,9,206
Excitatory_neuron,CAMK2B,SMC037,80,1120
Excitatory_neuron,CAMK2B,SMC038,313,1640
Excitatory_neuron,CAMK2B,SMC039,10,413
Excitatory_neuron,CAMK2B,SMC041,66,1746
Excitatory_neuron,CAMK2B,SMC043,2,105
Excitatory_neuron,CAMK2B,SMC049,1264,4070
Excitatory_neuron,CAMK2B,SMC052,346,4785
Excitatory_neuron,CAMK2B,SMC053,573,3231
Excitatory_neuron,CSRNP3,PO05,15,1197
Excitatory_neuron,CSRNP3,PO11,23,1165
Excitatory_neuron,CSRNP3,PO13,3,777
Excitatory_neuron,CSRNP3,PO15,47,744
Excitatory_neuron,CSRNP3,PO20,2,1454
Excitatory_neuron,CSRNP3,PO23,35,1605
Excitatory_neuron,CSRNP3,PO28,31,1851
Excitatory_neuron,CSRNP3,PO41,16,973
Excitatory_neuron,CSRNP3,PO42,7,1303
Excitatory_neuron,CSRNP3,SMC027,1,129
Excitatory_neuron,CSRNP3,SMC029,1,150
Excitatory_neuron,CSRNP3,SMC030,54,915
Excitatory_neuron,CSRNP3,SMC031,0,389
Excitatory_neuron,CSRNP3,SMC032,25,578
Excitatory_neuron,CSRNP3,SMC033,61,2797
Excitatory_neuron,CSRNP3,SMC035,27,1589
Excitatory_neuron,CSRNP3,SMC036,3,206
Excitatory_neuron,CSRNP3,SMC037,21,1120
Excitatory_neuron,CSRNP3,SMC038,33,1640
Excitatory_neuron,CSRNP3,SMC039,3,413
Excitatory_neuron,CSRNP3,SMC041,1,1746
Excitatory_neuron,CSRNP3,SMC043,1,105
Excitatory_neuron,CSRNP3,SMC049,106,4070
Excitatory_neuron,CSRNP3,SMC052,16,4785
Excitatory_neuron,CSRNP3,SMC053,59,3231
Excitatory_neuron,EIF4G2,PO05,10,1197
Excitatory_neuron,EIF4G2,PO11,24,1165
Excitatory_neuron,EIF4G2,PO13,11,777
Excitatory_neuron,EIF4G2,PO15,69,744
Excitatory_neuron,EIF4G2,PO20,9,1454
Excitatory_neuron,EIF4G2,PO23,45,1605
Excitatory_neuron,EIF4G2,PO28,69,1851
Excitatory_neuron,EIF4G2,PO41,45,973
Excitatory_neuron,EIF4G2,PO42,10,1303
Excitatory_neuron,EIF4G2,SMC027,1,129
Excitatory_neuron,EIF4G2,SMC029,1,150
Excitatory_neuron,EIF4G2,SMC030,61,915
Excitatory_neuron,EIF4G2,SMC031,2,389
Excitatory_neuron,EIF4G2,SMC032,13,578
Excitatory_neuron,EIF4G2,SMC033,50,2797
Excitatory_neuron,EIF4G2,SMC035,14,1589
Excitatory_neuron,EIF4G2,SMC036,8,206
Excitatory_neuron,EIF4G2,SMC037,24,1120
Excitatory_neuron,EIF4G2,SMC038,25,1640
Excitatory_neuron,EIF4G2,SMC039,2,413
Excitatory_neuron,EIF4G2,SMC041,20,1746
Excitatory_neuron,EIF4G2,SMC043,1,105
Excitatory_neuron,EIF4G2,SMC049,58,4070
Excitatory_neuron,EIF4G2,SMC052,22,4785
Excitatory_neuron,EIF4G2,SMC053,28,3231
Excitatory_neuron,ERCC6L2,PO05,76,1197
Excitatory_neuron,ERCC6L2,PO11,75,1165
Excitatory_neuron,ERCC6L2,PO13,30,777
Excitatory_neuron,ERCC6L2,PO15,68,744
Excitatory_neuron,ERCC6L2,PO20,52,1454
Excitatory_neuron,ERCC6L2,PO23,98,1605
Excitatory_neuron,ERCC6L2,PO28,76,1851
Excitatory_neuron,ERCC6L2,PO41,78,973
Excitatory_neuron,ERCC6L2,PO42,65,1303
Excitatory_neuron,ERCC6L2,SMC027,8,129
Excitatory_neuron,ERCC6L2,SMC029,1,150
Excitatory_neuron,ERCC6L2,SMC030,39,915
Excitatory_neuron,ERCC6L2,SMC031,7,389
Excitatory_neuron,ERCC6L2,SMC032,23,578
Excitatory_neuron,ERCC6L2,SMC033,56,2797
Excitatory_neuron,ERCC6L2,SMC035,30,1589
Excitatory_neuron,ERCC6L2,SMC036,4,206
Excitatory_neuron,ERCC6L2,SMC037,20,1120
Excitatory_neuron,ERCC6L2,SMC038,32,1640
Excitatory_neuron,ERCC6L2,SMC039,1,413
Excitatory_neuron,ERCC6L2,SMC041,16,1746
Excitatory_neuron,ERCC6L2,SMC043,1,105
Excitatory_neuron,ERCC6L2,SMC049,66,4070
Excitatory_neuron,ERCC6L2,SMC052,45,4785
Excitatory_neuron,ERCC6L2,SMC053,83,3231
Excitatory_neuron,GRIA2,PO05,170,1197
Excitatory_neuron,GRIA2,PO11,227,1165
Excitatory_neuron,GRIA2,PO13,40,777
Excitatory_neuron,GRIA2,PO15,221,744
Excitatory_neuron,GRIA2,PO20,162,1454
Excitatory_neuron,GRIA2,PO23,278,1605
Excitatory_neuron,GRIA2,PO28,303,1851
Excitatory_neuron,GRIA2,PO41,292,973
Excitatory_neuron,GRIA2,PO42,165,1303
