gene_id,cell_type,log2FC,pval,padj,score
PEX1,Excitatory_neuron,1.0336072,0.0018451360766829454,0.9761295803439107,3.1140893
FAM161A,Excitatory_neuron,0.7377518,0.0029852957689667763,0.9761295803439107,2.969248
MSH6,Excitatory_neuron,0.9778647,0.004736824948280188,0.9761295803439107,2.8244066
ZNF337-AS1,Excitatory_neuron,1.1550924,0.004736824948280188,0.9761295803439107,2.8244066
NCKAP1L,Excitatory_neuron,2.1430812,0.005923506536343936,0.9761295803439107,2.751986
XIST,Excitatory_neuron,6.856206,0.005923506536343936,0.9761295803439107,2.751986
CHD8,Excitatory_neuron,0.57179254,0.0073717834226379704,0.9761295803439107,2.6795652
MUC20,Excitatory_neuron,1.5568205,0.0073717834226379704,0.9761295803439107,2.6795652
DEDD,Excitatory_neuron,1.3464125,0.0073717834226379704,0.9761295803439107,2.6795652
RARG,Excitatory_neuron,1.9803027,0.0073717834226379704,0.9761295803439107,2.6795652
ANKRD62,Excitatory_neuron,1.754001,0.009130080362707644,0.9761295803439107,2.6071446
ZNF649,Excitatory_neuron,1.0701165,0.009130080362707644,0.9761295803439107,2.6071446
ZNF747,Excitatory_neuron,0.9164358,0.009130080362707644,0.9761295803439107,2.6071446
TCHH,Excitatory_neuron,2.588885,0.009130080362707644,0.9761295803439107,2.6071446
DAP,Excitatory_neuron,1.7958642,0.009130080362707644,0.9761295803439107,2.6071446
ENSG00000287629,Excitatory_neuron,2.0806422,0.011253598947570614,0.9761295803439107,2.534724
DYNC2I1,Excitatory_neuron,0.6147959,0.011253598947570614,0.9761295803439107,2.534724
GFAP,Excitatory_neuron,2.2141695,0.011253598947570614,0.9761295803439107,2.534724
ELK1,Excitatory_neuron,0.9172485,0.011253598947570614,0.9761295803439107,2.534724
NIT1,Excitatory_neuron,1.6243515,0.013804790907554947,0.9761295803439107,2.4623032
ENSG00000277855,Excitatory_neuron,0.83658373,0.013804790907554947,0.9761295803439107,2.4623032
PPL,Excitatory_neuron,1.0140585,0.013804790907554947,0.9761295803439107,2.4623032
TDRD3,Excitatory_neuron,1.0616155,0.013804790907554947,0.9761295803439107,2.4623032
FAM107A,Excitatory_neuron,1.2669139,0.013804790907554947,0.9761295803439107,2.4623032
PIGA,Excitatory_neuron,1.3237048,0.013804790907554947,0.9761295803439107,2.4623032
REC8,Excitatory_neuron,1.0667661,0.013804790907554947,0.9761295803439107,2.4623032
TOM1L2,Excitatory_neuron,0.8244365,0.013804790907554947,0.9761295803439107,2.4623032
ENSG00000188897,Excitatory_neuron,2.458726,0.013804790907554947,0.9761295803439107,2.4623032
LINC01819,Excitatory_neuron,2.517815,0.015262364454690043,0.9761295803439107,2.4260929
ERG28,Excitatory_neuron,1.1954675,0.01685376289545496,0.9761295803439107,2.3898826
UBXN7,Excitatory_neuron,0.99094236,0.01685376289545496,0.9761295803439107,2.3898826
BLOC1S6,Excitatory_neuron,0.91202414,0.01685376289545496,0.9761295803439107,2.3898826
ATAD2B,Excitatory_neuron,0.7263138,0.01685376289545496,0.9761295803439107,2.3898826
ENSG00000289092,Excitatory_neuron,1.7752159,0.018588996695892656,0.9761295803439107,2.3536723
BEST1,Excitatory_neuron,2.0518758,0.018588996695892656,0.9761295803439107,2.3536723
MPHOSPH9,Excitatory_neuron,0.548925,0.020478587162876295,0.9761295803439107,2.3174617
ADNP,Excitatory_neuron,0.7603581,0.020478587162876295,0.9761295803439107,2.3174617
LIME1,Excitatory_neuron,2.0458038,0.020478587162876295,0.9761295803439107,2.3174617
XPOT,Excitatory_neuron,1.3712182,0.020478587162876295,0.9761295803439107,2.3174617
DDX42,Excitatory_neuron,0.9605692,0.020478587162876295,0.9761295803439107,2.3174617
RHBDL3,Excitatory_neuron,0.9065331,0.020478587162876295,0.9761295803439107,2.3174617
RTF1,Excitatory_neuron,0.7716396,0.020478587162876295,0.9761295803439107,2.3174617
MTHFD2,Excitatory_neuron,2.1290133,0.022533569057889193,0.9761295803439107,2.2812514
SLC12A4,Excitatory_neuron,1.8169259,0.022533569057889193,0.9761295803439107,2.2812514
