cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,tx_role_mane,candidate_group
Astrocyte,ACAD9-201,ACAD9,0.55,0.9081803005008348,7.329248194165798e-49,5.512641677468985e-47,True,-0.3581803005008347,CT_enriched,0.0404040404040404,True,792.0,22,544,25.2895,908.2117,-5.1121,Dominant,Canonical,trial_failure_candidate
Astrocyte,ACSF3-218,ACSF3,0.032258064516129,0.6290322580645161,3.913650590533071e-12,2.2096911913304687e-11,True,-0.5967741935483871,CT_enriched,0.0357142857142857,True,84.0,2,39,2.3872,45.9502,-3.7929,Dominant,Canonical,trial_failure_candidate
Astrocyte,ACSF3-203,ACSF3,0.9193548387096774,0.3064516129032258,3.913650590533071e-12,2.2096911913304687e-11,True,0.6129032258064515,AD_enriched,0.0357142857142857,True,84.0,57,19,74.3822,19.1403,1.9041,Minor,Alternate,new_target_candidate
Astrocyte,ADGRA3-203,ADGRA3,0.8404669260700389,0.2268041237113402,2.1163409087653547e-27,4.285590340249844e-26,True,0.6136628023586987,AD_enriched,0.0319680319680319,True,2002.0,216,22,217.3338,55.6992,1.9451,Minor,Alternate,new_target_candidate
Astrocyte,ADGRA3-202,ADGRA3,0.159533073929961,0.7731958762886598,2.1163409087653547e-27,4.285590340249844e-26,True,-0.6136628023586989,CT_enriched,0.0309690309690309,True,2002.0,41,75,61.1181,68.2576,-0.157,Dominant,Canonical,trial_failure_candidate
Astrocyte,ALDH3A2-201,ALDH3A2,0.3714285714285714,0.9659090909090908,1.469009148539404e-11,7.852114890416204e-11,True,-0.5944805194805194,CT_enriched,0.0178571428571428,True,56.0,13,85,14.8771,164.8372,-3.3848,Dominant,Canonical,trial_failure_candidate
Astrocyte,ALDH3A2-202,ALDH3A2,0.3714285714285714,0.0227272727272727,1.469009148539404e-11,7.852114890416204e-11,True,0.3487012987012987,AD_enriched,0.0178571428571428,True,56.0,13,2,35.609,5.3902,2.5183,Minor,Alternate,new_target_candidate
Astrocyte,ANAPC5-201,ANAPC5,0.3676470588235294,0.8483606557377049,3.378574483882997e-16,2.834772056995057e-15,True,-0.4807135969141755,CT_enriched,0.0215617715617715,True,1716.0,25,207,31.4515,308.5809,-3.254,Dominant,Canonical,trial_failure_candidate
Astrocyte,ANKRD44-204,ANKRD44,0.2631578947368421,0.0,7.276415563779133e-13,4.441777152846045e-12,True,0.2631578947368421,AD_enriched,0.0,True,6.0,10,0,9.9743,0.0,3.4561,Minor,Alternate,new_target_candidate
Astrocyte,ANKRD44-201,ANKRD44,0.2105263157894736,0.967741935483871,7.276415563779133e-13,4.441777152846045e-12,True,-0.7572156196943974,CT_enriched,0.0,True,6.0,8,60,9.1027,20.9355,-1.1185,Dominant,Canonical,trial_failure_candidate
Astrocyte,ANXA11-203,ANXA11,0.0505050505050505,0.8064516129032258,2.3827484682571305e-17,2.181768814847616e-16,True,-0.7559465623981753,CT_enriched,0.0357142857142857,True,28.0,5,25,7.1818,20.1484,-1.3701,Dominant,Canonical,trial_failure_candidate
Astrocyte,ANXA11-202,ANXA11,0.9494949494949496,0.1935483870967742,2.3827484682571305e-17,2.181768814847616e-16,True,0.7559465623981754,AD_enriched,0.0357142857142857,True,28.0,94,6,70.0368,20.5215,1.7228,Minor,Alternate,new_target_candidate
Astrocyte,ARHGAP29-201,ARHGAP29,0.5363636363636364,0.9302325581395348,3.368561736500021e-05,8.878837317983784e-05,True,-0.3938689217758984,CT_enriched,0.0,True,495.0,118,40,52.1338,65.0027,-0.3129,Dominant,Canonical,trial_failure_candidate
Astrocyte,ARHGAP29-202,ARHGAP29,0.3909090909090909,0.0697674418604651,3.368561736500021e-05,8.878837317983784e-05,True,0.3211416490486257,AD_enriched,0.0404040404040404,True,495.0,86,3,59.928,1.0468,4.8957,Minor,Alternate,new_target_candidate
Astrocyte,ARHGEF10L-203,ARHGEF10L,0.8188405797101449,0.0053475935828877,6.945295828570074e-66,1.4626793014968577e-63,True,0.8134929861272572,AD_enriched,0.0277777777777777,True,36.0,113,1,45.5957,1.9811,3.9663,Minor,Alternate,new_target_candidate
Astrocyte,ARID1B-226,ARID1B,0.3777777777777777,0.1142857142857142,5.401881584516415e-07,1.7692632374792488e-06,True,0.2634920634920635,AD_enriched,0.0476190476190476,True,84.0,17,4,18.2192,50.8715,-1.4324,Minor,Alternate,new_target_candidate
Astrocyte,ARID4A-202,ARID4A,0.2125,0.8461538461538461,1.9129766498050868e-09,8.340559636694771e-09,True,-0.6336538461538461,CT_enriched,0.0202020202020202,True,495.0,17,33,17.9832,38.8206,-1.0688,Dominant,Canonical,trial_failure_candidate
Astrocyte,ARID4B-202,ARID4B,0.335632183908046,0.0956521739130434,1.7437280914464222e-27,3.565331418044821e-26,True,0.2399800099950026,AD_enriched,0.0417582417582417,True,5005.0,146,11,137.9965,44.8173,1.6011,Minor,Alternate,new_target_candidate
Astrocyte,ATF6-210,ATF6,0.3191489361702128,0.0,8.477204254225835e-11,4.1908432299060117e-10,True,0.3191489361702128,AD_enriched,0.002020202020202,True,495.0,15,0,21.351,0.0,4.4823,Minor,Alternate,new_target_candidate
Astrocyte,ATF6-201,ATF6,0.4468085106382978,0.975609756097561,8.477204254225835e-11,4.1908432299060117e-10,True,-0.5288012454592632,CT_enriched,0.008080808080808,True,495.0,21,80,25.4937,77.7352,-1.5714,Dominant,Canonical,trial_failure_candidate
Astrocyte,ATOSA-216,ATOSA,0.056,0.4166666666666667,1.2927140289428817e-07,4.499926851163155e-07,True,-0.3606666666666667,CT_enriched,0.029040404040404,True,792.0,7,20,6.6306,228.6493,-4.9115,Dominant,Canonical,trial_failure_candidate
Astrocyte,BIRC6-201,BIRC6,0.4409448818897638,0.8872180451127819,4.156884777008909e-13,2.613253534442018e-12,True,-0.4462731632230181,CT_enriched,0.0489510489510489,True,5005.0,56,118,65.3577,768.6508,-3.5359,Dominant,Canonical,trial_failure_candidate
Astrocyte,CCAR1-201,CCAR1,0.6842105263157895,0.95,8.831447213048051e-06,2.5270418248205428e-05,True,-0.2657894736842104,CT_enriched,0.0194805194805194,True,462.0,65,114,79.4604,192.5404,-1.2663,Dominant,Canonical,trial_failure_candidate
Astrocyte,CELF2-209,CELF2,0.7127659574468085,0.282258064516129,8.150743309342481e-11,4.0389330375235927e-10,True,0.4305078929306795,AD_enriched,0.0313020313020313,True,3003.0,67,35,80.7476,147.687,-0.863,Minor,Alternate,new_target_candidate
Astrocyte,CLASP2-207,CLASP2,0.5932203389830508,0.1058823529411764,7.924664617486674e-15,5.897294588136727e-14,True,0.4873379860418744,AD_enriched,0.0233100233100233,True,1287.0,35,9,44.9661,13.8314,1.6319,Minor,Alternate,new_target_candidate
Astrocyte,CLINT1-201,CLINT1,0.5918367346938775,0.913793103448276,0.0013987126151529,0.0029694443220889,True,-0.3219563687543985,CT_enriched,0.0242424242424242,True,165.0,29,53,35.487,89.2975,-1.3073,Dominant,Canonical,trial_failure_candidate
Astrocyte,COG4-201,COG4,0.1724137931034483,0.624113475177305,1.1294077917421604e-32,3.0108010245683416e-31,True,-0.4516996820738567,CT_enriched,0.0153846153846153,True,715.0,35,176,32.9688,103.546,-1.6219,Dominant,Canonical,trial_failure_candidate
Astrocyte,COG4-222,COG4,0.3891625615763547,0.0390070921985815,1.1294077917421604e-32,3.0108010245683416e-31,True,0.3501554693777732,AD_enriched,0.0419580419580419,True,715.0,79,11,69.989,39.0548,0.8256,Minor,Alternate,new_target_candidate
Astrocyte,CRAT-201,CRAT,0.1212121212121212,0.9655172413793104,2.2209293775342206e-32,5.703996669618377e-31,True,-0.8443051201671892,CT_enriched,0.0,True,8.0,24,56,47.7036,21.172,1.1353,Dominant,Canonical,trial_failure_candidate
Astrocyte,CREBZF-204,CREBZF,0.5608695652173913,0.84375,0.0005345945386339,0.001205413381545,True,-0.2828804347826087,CT_enriched,0.0411,True,10000.0,129,54,286.0353,162.278,0.8139,Dominant,Canonical,trial_failure_candidate
Astrocyte,CRELD1-207,CRELD1,0.3157894736842105,0.0494699646643109,1.4015908666097372e-23,2.1704046802059604e-22,True,0.2663195090198996,AD_enriched,0.0055,True,10000.0,30,14,35.1689,23.3129,0.573,Minor,Alternate,new_target_candidate
Astrocyte,CSDE1-224,CSDE1,0.3421052631578947,0.0217391304347826,4.382584116157709e-45,2.63706347103661e-43,True,0.3203661327231121,AD_enriched,0.0411810411810411,True,1287.0,91,7,86.1973,23.8634,1.8103,Minor,Alternate,new_target_candidate
Astrocyte,CSNK2A1-226,CSNK2A1,0.2954545454545454,0.0,5.938004806669125e-11,2.9917316083361667e-10,True,0.2954545454545454,AD_enriched,0.0151515151515151,True,462.0,13,0,13.6226,0.0,3.8701,Minor,Alternate,new_target_candidate
Astrocyte,CYP4V2-201,CYP4V2,0.2554744525547445,0.7163120567375887,1.426305507060339e-13,9.445910056192056e-13,True,-0.4608376041828442,CT_enriched,0.0458430458430458,True,1287.0,35,101,38.5078,120.613,-1.6221,Dominant,Canonical,trial_failure_candidate
Astrocyte,DDX19A-209,DDX19A,0.7037037037037037,0.0,2.6332334909585202e-24,4.33249197809269e-23,True,0.7037037037037037,AD_enriched,0.0432900432900432,True,462.0,38,0,9.6516,0.0,3.413,Minor,Alternate,new_target_candidate
Astrocyte,DDX19A-201,DDX19A,0.2592592592592592,0.991304347826087,2.6332334909585202e-24,4.33249197809269e-23,True,-0.7320450885668278,CT_enriched,0.0476190476190476,True,462.0,14,114,19.2244,179.0703,-3.1544,Dominant,Canonical,trial_failure_candidate
Astrocyte,DICER1-201,DICER1,0.037037037037037,0.5882352941176471,1.1093890777156117e-13,7.464451749741462e-13,True,-0.5511982570806101,CT_enriched,0.0037878787878787,True,792.0,4,30,1.8925,83.2476,-4.8643,Dominant,Canonical,trial_failure_candidate
Astrocyte,DKC1-201,DKC1,0.0519480519480519,0.9154929577464788,2.454098907611681e-59,3.947548143369032e-57,True,-0.8635449057984269,CT_enriched,0.0277777777777777,True,36.0,16,65,16.1644,82.6492,-2.2849,Dominant,Canonical,trial_failure_candidate
Astrocyte,transcript90257.chr19.nnic,DPY19L3,0.5136363636363637,0.0,2.2323107503756607e-26,4.160395079903666e-25,True,0.5136363636363637,AD_enriched,0.0101010101010101,True,495.0,113,0,26.3225,0.0,4.772,Minor,Alternate,new_target_candidate
Astrocyte,EHBP1-209,EHBP1,0.078125,0.5614035087719298,1.4380315775573658e-08,5.6187282047046615e-08,True,-0.4832785087719298,CT_enriched,0.0279720279720279,True,2002.0,5,32,4.7506,19.3265,-1.8216,Dominant,Canonical,trial_failure_candidate
Astrocyte,EIF2B5-226,EIF2B5,0.2568807339449541,0.6063829787234043,2.3789780086351312e-18,2.42035153922009e-17,True,-0.3495022447784502,CT_enriched,0.0124320124320124,True,1287.0,28,57,32.177,59.0488,-0.856,Dominant,Canonical,trial_failure_candidate
Astrocyte,EXOC4-205,EXOC4,0.4214285714285714,0.1012658227848101,3.15337649469924e-12,1.7948678102261075e-11,True,0.3201627486437612,AD_enriched,0.0377622377622377,True,5005.0,59,8,46.7861,42.4146,0.1384,Minor,Alternate,new_target_candidate
Astrocyte,EXOC4-201,EXOC4,0.2928571428571428,0.810126582278481,3.15337649469924e-12,1.7948678102261075e-11,True,-0.5172694394213382,CT_enriched,0.0329670329670329,True,5005.0,41,64,52.8463,195.9313,-1.8708,Dominant,Canonical,trial_failure_candidate
Astrocyte,EZR-201,EZR,0.7212643678160919,0.2938931297709923,2.109655460786431e-25,3.75746155757792e-24,True,0.4273712380450996,AD_enriched,0.0407092907092907,True,8008.0,251,77,277.6673,153.142,0.8543,Minor,Alternate,new_target_candidate
Astrocyte,FAM234A-203,FAM234A,0.4078947368421052,0.9523809523809524,2.954742548502426e-17,2.6706814622944673e-16,True,-0.5444862155388472,CT_enriched,0.0489510489510489,True,1287.0,62,100,63.2203,171.8575,-1.4285,Dominant,Canonical,trial_failure_candidate
