run,seed,exhaustiveness,pose_rank,vina_affinity_kcal_mol,rmsd_to_crystal_heavy_atom_uncorrected_angstrom
vina_initial_seed20260824_ex16,20260824,16,1,-9.155,1.8531
vina_initial_seed20260824_ex16,20260824,16,2,-8.974,4.3965
vina_initial_seed20260824_ex16,20260824,16,3,-8.965,2.7245
vina_initial_seed20260824_ex16,20260824,16,4,-8.956,2.7764
vina_initial_seed20260824_ex16,20260824,16,5,-8.828,2.8916
vina_initial_seed20260824_ex16,20260824,16,6,-8.68,1.8712
vina_initial_seed20260824_ex16,20260824,16,7,-8.588,9.5511
vina_initial_seed20260824_ex16,20260824,16,8,-8.483,4.8002
vina_initial_seed20260824_ex16,20260824,16,9,-8.386,9.4323
vina_initial_seed20260824_ex16,20260824,16,10,-8.243,3.207
vina_seed1103_ex32,1103,32,1,-9.15,1.919
vina_seed1103_ex32,1103,32,2,-9.112,2.6654
vina_seed1103_ex32,1103,32,3,-8.978,3.2245
vina_seed1103_ex32,1103,32,4,-8.946,2.7911
vina_seed1103_ex32,1103,32,5,-8.828,3.7352
vina_seed1103_ex32,1103,32,6,-8.804,4.2343
vina_seed1103_ex32,1103,32,7,-8.737,2.968
vina_seed1103_ex32,1103,32,8,-8.729,2.0861
vina_seed1103_ex32,1103,32,9,-8.601,4.5569
vina_seed1103_ex32,1103,32,10,-8.555,9.6172
vina_seed2207_ex32,2207,32,1,-9.142,1.7568
vina_seed2207_ex32,2207,32,2,-9.114,2.7553
vina_seed2207_ex32,2207,32,3,-9.0,3.1341
vina_seed2207_ex32,2207,32,4,-8.93,2.7592
vina_seed2207_ex32,2207,32,5,-8.893,4.5353
vina_seed2207_ex32,2207,32,6,-8.879,3.4822
vina_seed2207_ex32,2207,32,7,-8.85,2.1752
vina_seed2207_ex32,2207,32,8,-8.766,2.9368
vina_seed2207_ex32,2207,32,9,-8.707,2.5281
vina_seed2207_ex32,2207,32,10,-8.482,9.4308
vina_seed3301_ex32,3301,32,1,-9.155,1.9087
vina_seed3301_ex32,3301,32,2,-9.089,2.7443
vina_seed3301_ex32,3301,32,3,-8.943,4.4965
vina_seed3301_ex32,3301,32,4,-8.913,2.2137
vina_seed3301_ex32,3301,32,5,-8.895,2.8043
vina_seed3301_ex32,3301,32,6,-8.885,3.3697
vina_seed3301_ex32,3301,32,7,-8.807,3.7171
vina_seed3301_ex32,3301,32,8,-8.757,3.1039
vina_seed3301_ex32,3301,32,9,-8.614,2.3837
vina_seed4409_ex32,4409,32,1,-9.182,1.7535
vina_seed4409_ex32,4409,32,2,-9.08,2.7854
vina_seed4409_ex32,4409,32,3,-8.936,3.25
vina_seed4409_ex32,4409,32,4,-8.882,2.6889
vina_seed4409_ex32,4409,32,5,-8.871,2.7759
vina_seed4409_ex32,4409,32,6,-8.797,2.1912
vina_seed4409_ex32,4409,32,7,-8.749,2.5141
vina_seed4409_ex32,4409,32,8,-8.66,2.4169
vina_seed4409_ex32,4409,32,9,-8.6,9.5433
vina_seed4409_ex32,4409,32,10,-8.514,9.3925
vina_seed5519_ex64,5519,64,1,-9.202,1.9413
vina_seed5519_ex64,5519,64,2,-9.032,2.655
vina_seed5519_ex64,5519,64,3,-9.005,4.5168
vina_seed5519_ex64,5519,64,4,-8.92,2.7649
vina_seed5519_ex64,5519,64,5,-8.912,3.3441
vina_seed5519_ex64,5519,64,6,-8.878,2.0195
vina_seed5519_ex64,5519,64,7,-8.668,2.7917
vina_seed5519_ex64,5519,64,8,-8.618,2.5804
vina_seed5519_ex64,5519,64,9,-8.536,4.5994
vina_seed6619_ex64,6619,64,1,-9.186,1.8964
vina_seed6619_ex64,6619,64,2,-9.073,2.7946
vina_seed6619_ex64,6619,64,3,-8.9,3.1405
vina_seed6619_ex64,6619,64,4,-8.88,2.7902
vina_seed6619_ex64,6619,64,5,-8.864,1.9609
vina_seed6619_ex64,6619,64,6,-8.848,3.677
vina_seed6619_ex64,6619,64,7,-8.839,4.4428
vina_seed6619_ex64,6619,64,8,-8.761,2.99
vina_seed6619_ex64,6619,64,9,-8.733,2.7062
vina_seed6619_ex64,6619,64,10,-8.482,2.9832
vina_seed7723_ex64,7723,64,1,-9.203,1.8879
vina_seed7723_ex64,7723,64,2,-9.085,2.6656
vina_seed7723_ex64,7723,64,3,-8.979,1.462
vina_seed7723_ex64,7723,64,4,-8.898,2.7637
vina_seed7723_ex64,7723,64,5,-8.809,1.9962
vina_seed7723_ex64,7723,64,6,-8.791,3.9986
vina_seed7723_ex64,7723,64,7,-8.77,4.3406
vina_seed7723_ex64,7723,64,8,-8.741,2.9154
vina_seed7723_ex64,7723,64,9,-8.721,2.8147
vina_seed7723_ex64,7723,64,10,-8.536,4.6568
vina_seed8831_ex64,8831,64,1,-9.2,1.9778
vina_seed8831_ex64,8831,64,2,-9.044,2.7602
vina_seed8831_ex64,8831,64,3,-8.914,3.3902
vina_seed8831_ex64,8831,64,4,-8.875,2.8183
vina_seed8831_ex64,8831,64,5,-8.855,4.6186
vina_seed8831_ex64,8831,64,6,-8.836,2.1572
vina_seed8831_ex64,8831,64,7,-8.744,2.9365
vina_seed8831_ex64,8831,64,8,-8.692,2.1752
vina_seed8831_ex64,8831,64,9,-8.59,9.5819
vina_seed8831_ex64,8831,64,10,-8.483,7.8328
