group,seed,score,rmsd,path
BACE1 canonical,1103,-9.517,0.9536,outputs/docking_campaign/systems/BACE1_verubecestat/runs/canonical_obabel_seed1103_ex32/result.json
BACE1 canonical,2207,-9.488,0.9653,outputs/docking_campaign/systems/BACE1_verubecestat/runs/canonical_obabel_seed2207_ex32/result.json
BACE1 canonical,3301,-9.494,0.9528,outputs/docking_campaign/systems/BACE1_verubecestat/runs/canonical_obabel_seed3301_ex32/result.json
BACE1 canonical,4409,-9.493,0.9577,outputs/docking_campaign/systems/BACE1_verubecestat/runs/canonical_obabel_seed4409_ex32/result.json
BACE1 canonical,5519,-9.531,0.9542,outputs/docking_campaign/systems/BACE1_verubecestat/runs/canonical_obabel_seed5519_ex32/result.json
BACE1 canonical,20260825,-9.536,0.9457,outputs/docking_campaign/systems/BACE1_verubecestat/runs/canonical_obabel_redock_seed20260825_ex32/result.json
BACE1-476,1103,-9.149,7.136,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_476_seed1103_ex32/result.json
BACE1-476,2207,-9.182,7.1181,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_476_seed2207_ex32/result.json
BACE1-476,3301,-9.184,7.1093,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_476_seed3301_ex32/result.json
BACE1-476,4409,-9.174,7.1161,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_476_seed4409_ex32/result.json
BACE1-476,5519,-9.174,7.132,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_476_seed5519_ex32/result.json
BACE1-476,20260825,-9.165,7.1216,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_476_seed20260825_ex32/result.json
BACE1-457,1103,-8.289,6.9959,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_457_seed1103_ex32/result.json
BACE1-457,2207,-8.265,7.0267,outputs/docking_campaign/systems/BACE1_verubecestat/runs/alternate_457_seed2207_ex32/result.json
