group,seed,vina_affinity_kcal_mol,top_pose_rmsd_A,best_of_20_rmsd_A,gnina_cnn_score,gnina_cnn_affinity
Canonical BACE1,1103,-9.517,0.9536,0.9536,0.9102242589,7.3509011269
Canonical BACE1,2207,-9.488,0.9653,0.9653,0.9256124496,7.3814415932
Canonical BACE1,3301,-9.494,0.9528,0.9528,0.9129025936,7.3577427864
Canonical BACE1,4409,-9.493,0.9577,0.9577,0.9275901914,7.3799490929
Canonical BACE1,5519,-9.531,0.9542,0.9542,0.9217302203,7.3632884026
BACE1-202 (401 aa),1103,-9.525,10.8817,5.2793,0.1242393777,5.441734314
BACE1-202 (401 aa),2207,-9.605,10.9048,5.1936,0.1245116964,5.4411334991
BACE1-202 (401 aa),3301,-9.542,10.8411,5.2606,0.1319515556,5.3885216713
BACE1-202 (401 aa),4409,-9.522,10.9239,5.2739,0.1246923059,5.4520468712
BACE1-202 (401 aa),5519,-8.674,9.4808,5.2188,0.6188454032,5.8610043526
