group,system,seed,source_run,result_path,pose_rank,vina_affinity_kcal_mol,vina_rmsd_to_crystal_angstrom,gnina_score_only_vina_kcal_mol,cnn_score,cnn_affinity,cnn_affinity_variance,cnn_vs
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,1,-8.289,6.9959,-8.2922,0.0377119966,4.0703425407,1.435710907,0.1535007507
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,2,-8.011,7.3253,-7.91726,0.0435434468,4.4444127083,0.8607645631,0.1935250461
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,3,-7.945,6.5008,-7.9025,0.145680353,4.4100313187,1.1908499002,0.6424549222
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,4,-7.861,7.1022,-7.65664,0.0375812501,4.1478652954,1.3664919138,0.1558819562
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,5,-7.629,7.277,-7.57432,0.1851068884,4.9361834526,0.5246060491,0.9137215614
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,6,-7.408,7.155,-7.32099,0.1157969385,4.613676548,0.9381821156,0.5342496037
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,7,-7.223,9.0253,-7.16439,0.1599476486,4.9410181046,0.3520824909,0.7903042436
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,8,-7.215,6.9836,-7.14064,0.1275383532,5.0153961182,0.3638524115,0.6396553516
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,9,-7.119,6.7999,-7.60643,0.0838350505,4.4146180153,1.056178093,0.3700997233
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,10,-7.111,6.8167,-6.93363,0.0913254768,4.0657811165,1.1402010918,0.3713093996
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,11,-7.075,7.4242,-6.88307,0.2234199047,4.5542759895,0.5589141846,1.0175158978
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,12,-7.056,8.0152,-7.03982,0.1517829448,4.6955165863,0.6989756227,0.7126993537
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,13,-7.052,6.8897,-7.09377,0.1447972357,5.2595009804,0.596490562,0.7615612149
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,14,-6.947,7.0114,-7.39753,0.078154318,4.2578368187,1.3237177134,0.332768321
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,15,-6.843,7.2172,-6.61068,0.0435503125,4.1756706238,0.9610051513,0.1818517596
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,16,-6.819,7.3664,-7.22197,0.0719645396,4.8212685585,0.6489653587,0.3469603658
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,17,-6.779,7.4506,-6.59599,0.2608190179,4.6617646217,0.4444174469,1.2158768177
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,18,-6.764,8.1894,-6.52547,0.1270033121,4.4566988945,0.5159391761,0.5660155416
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,19,-6.734,7.3851,-6.50885,0.1443602294,5.0489068031,0.5235930085,0.7288613319
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,20,-6.672,5.8795,-6.59063,0.0264075901,3.5846202374,0.9443805814,0.0946611837
