group,system,seed,source_run,result_path,n_poses,vina_top_affinity_kcal_mol,vina_top_rmsd_angstrom,vina_rank1_cnn_score,vina_rank1_cnn_affinity,cnn_selected_vina_rank,cnn_selected_cnn_score,cnn_selected_cnn_affinity,cnn_selected_vina_affinity_kcal_mol,cnn_selected_rmsd_angstrom,affinity_selected_vina_rank,affinity_selected_cnn_affinity,affinity_selected_rmsd_angstrom,cnn_vina_rank1_agree,spearman_vina_quality_vs_cnn_score,spearman_vina_quality_vs_cnn_affinity
BACE1-457,BACE1_verubecestat,1103,alternate_457_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed1103_ex32/result.json,20,-8.289,6.9959,0.0377119966,4.0703425407,17,0.2608190179,4.6617646217,-6.779,7.4506,13,5.2595009804,6.8897,False,-0.06466165413533835,-0.13533834586466165
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,20,-8.305,6.9968,0.0403003767,4.0953607559,12,0.2519226074,4.6839618683,-6.906,7.382,11,5.0885262489,6.823,False,-0.1293233082706767,-0.1548872180451128
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,20,-8.265,7.0267,0.0391902998,4.080098629,15,0.2684009671,5.3707008362,-6.946,7.4378,19,5.8208556175,6.5675,False,-0.4616541353383459,-0.4270676691729323
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,20,-8.297,7.0038,0.0396491028,4.0954470634,20,0.2923794389,5.9324841499,-6.854,6.596,20,5.9324841499,6.596,False,-0.3172932330827068,-0.39398496240601505
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,20,-8.284,7.0205,0.0386954919,4.0849676132,14,0.2615163922,4.6837382317,-6.943,7.3782,9,5.0250577927,6.9479,False,-0.13984962406015036,-0.05263157894736842
BACE1-457,BACE1_verubecestat,5519,alternate_457_seed5519_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed5519_ex32/result.json,20,-8.268,7.0323,0.0398630165,4.0357966423,16,0.2707111239,5.3798484802,-6.901,7.4488,14,5.7478804588,6.6515,False,-0.3565250346149642,-0.20534036803773253
BACE1-476,BACE1_verubecestat,1103,alternate_476_seed1103_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_476_seed1103_ex32/result.json,19,-9.149,7.136,0.1053337902,5.659681797,17,0.5557257533,5.9189038277,-6.725,11.4148,8,6.4831719398,7.2872,False,0.18070175438596492,0.29473684210526313
BACE1-476,BACE1_verubecestat,20260825,alternate_476_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_476_seed20260825_ex32/result.json,20,-9.165,7.1216,0.1180827543,5.705575943,9,0.6529922485,6.5229587555,-7.735,10.4836,9,6.5229587555,10.4836,False,0.3218045112781955,0.4255639097744361
BACE1-476,BACE1_verubecestat,2207,alternate_476_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_476_seed2207_ex32/result.json,19,-9.182,7.1181,0.1193564609,5.7101635933,10,0.6590927839,6.5214290619,-7.708,10.4808,10,6.5214290619,10.4808,False,0.3473684210526316,0.4
BACE1-476,BACE1_verubecestat,3301,alternate_476_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_476_seed3301_ex32/result.json,20,-9.184,7.1093,0.1185875013,5.6976294518,10,0.630109787,6.486676693,-7.688,10.4925,9,6.518723011,7.3214,False,0.26165413533834586,0.4406015037593985
BACE1-476,BACE1_verubecestat,4409,alternate_476_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_476_seed4409_ex32/result.json,20,-9.174,7.1161,0.1170730963,5.7016701698,8,0.6608293056,6.5308585167,-7.738,10.4771,8,6.5308585167,10.4771,False,0.4001504607914788,0.39864613575090935
BACE1-476,BACE1_verubecestat,5519,alternate_476_seed5519_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_476_seed5519_ex32/result.json,20,-9.174,7.132,0.1099638939,5.6820716858,9,0.4509131908,6.5488228798,-7.928,7.2832,9,6.5488228798,7.2832,False,0.24060150375939848,0.3533834586466165
BACE1 canonical,BACE1_verubecestat,20260825,canonical_obabel_redock_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/canonical_obabel_redock_seed20260825_ex32/result.json,20,-9.536,0.9457,0.91403687,7.3693394661,1,0.91403687,7.3693394661,-9.536,0.9457,1,7.3693394661,0.9457,True,0.4030075187969925,0.5413533834586466
