"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"PO05","DDX5-201","Astrocyte","DDX5",FALSE,"AD",294,1,104,0.00961538461538462,NA,NA,NA,16
"PO11","DDX5-201","Astrocyte","DDX5",FALSE,"AD",183,13,56,0.232142857142857,NA,NA,NA,18
"PO28","DDX5-201","Astrocyte","DDX5",FALSE,"AD",152,3,14,0.214285714285714,NA,NA,NA,8
"PO41","DDX5-201","Astrocyte","DDX5",FALSE,"AD",294,66,197,0.33502538071066,NA,NA,NA,48
"PO42","DDX5-201","Astrocyte","DDX5",FALSE,"AD",688,10,174,0.0574712643678161,NA,NA,NA,26
"SMC029","DDX5-201","Astrocyte","DDX5",FALSE,"AD",192,19,309,0.0614886731391586,NA,NA,NA,27
"SMC032","DDX5-201","Astrocyte","DDX5",FALSE,"AD",64,4,236,0.0169491525423729,NA,NA,NA,12
"SMC036","DDX5-201","Astrocyte","DDX5",FALSE,"AD",78,1,5,0.2,NA,NA,NA,4
"SMC038","DDX5-201","Astrocyte","DDX5",FALSE,"AD",244,20,57,0.350877192982456,NA,NA,NA,9
"SMC039","DDX5-201","Astrocyte","DDX5",FALSE,"AD",158,1,8,0.125,NA,NA,NA,5
"SMC041","DDX5-201","Astrocyte","DDX5",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","DDX5-201","Astrocyte","DDX5",FALSE,"AD",653,35,88,0.397727272727273,NA,NA,NA,21
"SMC049","DDX5-201","Astrocyte","DDX5",FALSE,"AD",304,100,117,0.854700854700855,NA,NA,NA,31
"PO13","DDX5-201","Astrocyte","DDX5",FALSE,"Control",55,5,9,0.555555555555556,NA,NA,NA,4
"PO15","DDX5-201","Astrocyte","DDX5",FALSE,"Control",150,30,180,0.166666666666667,NA,NA,NA,27
"PO20","DDX5-201","Astrocyte","DDX5",FALSE,"Control",131,8,25,0.32,NA,NA,NA,7
"PO23","DDX5-201","Astrocyte","DDX5",FALSE,"Control",116,7,10,0.7,NA,NA,NA,7
"SMC027","DDX5-201","Astrocyte","DDX5",FALSE,"Control",445,341,690,0.494202898550725,NA,NA,NA,74
"SMC030","DDX5-201","Astrocyte","DDX5",FALSE,"Control",245,77,269,0.286245353159851,NA,NA,NA,48
"SMC033","DDX5-201","Astrocyte","DDX5",FALSE,"Control",524,40,50,0.8,NA,NA,NA,29
"SMC052","DDX5-201","Astrocyte","DDX5",FALSE,"Control",130,6,6,1,NA,NA,NA,1
"PO05","DDX5-212","Astrocyte","DDX5",TRUE,"AD",294,0,104,0,0.0210709448159543,0.010689998269539,0.10027203654516,16
"PO11","DDX5-212","Astrocyte","DDX5",TRUE,"AD",183,26,56,0.464285714285714,0.0210709448159543,0.010689998269539,0.10027203654516,18
"PO28","DDX5-212","Astrocyte","DDX5",TRUE,"AD",152,0,14,0,0.0210709448159543,0.010689998269539,0.10027203654516,8
"PO41","DDX5-212","Astrocyte","DDX5",TRUE,"AD",294,12,197,0.0609137055837563,0.0210709448159543,0.010689998269539,0.10027203654516,48
"PO42","DDX5-212","Astrocyte","DDX5",TRUE,"AD",688,2,174,0.0114942528735632,0.0210709448159543,0.010689998269539,0.10027203654516,26
"SMC029","DDX5-212","Astrocyte","DDX5",TRUE,"AD",192,162,309,0.524271844660194,0.0210709448159543,0.010689998269539,0.10027203654516,27
"SMC032","DDX5-212","Astrocyte","DDX5",TRUE,"AD",64,1,236,0.00423728813559322,0.0210709448159543,0.010689998269539,0.10027203654516,12
"SMC036","DDX5-212","Astrocyte","DDX5",TRUE,"AD",78,1,5,0.2,0.0210709448159543,0.010689998269539,0.10027203654516,4
"SMC038","DDX5-212","Astrocyte","DDX5",TRUE,"AD",244,0,57,0,0.0210709448159543,0.010689998269539,0.10027203654516,9
"SMC039","DDX5-212","Astrocyte","DDX5",TRUE,"AD",158,0,8,0,0.0210709448159543,0.010689998269539,0.10027203654516,5
"SMC041","DDX5-212","Astrocyte","DDX5",TRUE,"AD",22,0,0,NA,0.0210709448159543,0.010689998269539,0.10027203654516,0
"SMC043","DDX5-212","Astrocyte","DDX5",TRUE,"AD",653,15,88,0.170454545454545,0.0210709448159543,0.010689998269539,0.10027203654516,21
"SMC049","DDX5-212","Astrocyte","DDX5",TRUE,"AD",304,0,117,0,0.0210709448159543,0.010689998269539,0.10027203654516,31
"PO13","DDX5-212","Astrocyte","DDX5",TRUE,"Control",55,0,9,0,0.0210709448159543,0.010689998269539,0.10027203654516,4
"PO15","DDX5-212","Astrocyte","DDX5",TRUE,"Control",150,2,180,0.0111111111111111,0.0210709448159543,0.010689998269539,0.10027203654516,27
"PO20","DDX5-212","Astrocyte","DDX5",TRUE,"Control",131,0,25,0,0.0210709448159543,0.010689998269539,0.10027203654516,7
"PO23","DDX5-212","Astrocyte","DDX5",TRUE,"Control",116,2,10,0.2,0.0210709448159543,0.010689998269539,0.10027203654516,7
"SMC027","DDX5-212","Astrocyte","DDX5",TRUE,"Control",445,25,690,0.036231884057971,0.0210709448159543,0.010689998269539,0.10027203654516,74
"SMC030","DDX5-212","Astrocyte","DDX5",TRUE,"Control",245,13,269,0.0483271375464684,0.0210709448159543,0.010689998269539,0.10027203654516,48
"SMC033","DDX5-212","Astrocyte","DDX5",TRUE,"Control",524,0,50,0,0.0210709448159543,0.010689998269539,0.10027203654516,29
"SMC052","DDX5-212","Astrocyte","DDX5",TRUE,"Control",130,0,6,0,0.0210709448159543,0.010689998269539,0.10027203654516,1
"PO05","DDX5-215","Astrocyte","DDX5",FALSE,"AD",294,95,104,0.913461538461538,NA,NA,NA,16
"PO11","DDX5-215","Astrocyte","DDX5",FALSE,"AD",183,11,56,0.196428571428571,NA,NA,NA,18
"PO28","DDX5-215","Astrocyte","DDX5",FALSE,"AD",152,9,14,0.642857142857143,NA,NA,NA,8
"PO41","DDX5-215","Astrocyte","DDX5",FALSE,"AD",294,103,197,0.522842639593909,NA,NA,NA,48
"PO42","DDX5-215","Astrocyte","DDX5",FALSE,"AD",688,139,174,0.798850574712644,NA,NA,NA,26
"SMC029","DDX5-215","Astrocyte","DDX5",FALSE,"AD",192,127,309,0.411003236245955,NA,NA,NA,27
"SMC032","DDX5-215","Astrocyte","DDX5",FALSE,"AD",64,152,236,0.644067796610169,NA,NA,NA,12
"SMC036","DDX5-215","Astrocyte","DDX5",FALSE,"AD",78,1,5,0.2,NA,NA,NA,4
"SMC038","DDX5-215","Astrocyte","DDX5",FALSE,"AD",244,34,57,0.596491228070175,NA,NA,NA,9
"SMC039","DDX5-215","Astrocyte","DDX5",FALSE,"AD",158,3,8,0.375,NA,NA,NA,5
"SMC041","DDX5-215","Astrocyte","DDX5",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","DDX5-215","Astrocyte","DDX5",FALSE,"AD",653,15,88,0.170454545454545,NA,NA,NA,21
"SMC049","DDX5-215","Astrocyte","DDX5",FALSE,"AD",304,15,117,0.128205128205128,NA,NA,NA,31
"PO13","DDX5-215","Astrocyte","DDX5",FALSE,"Control",55,4,9,0.444444444444444,NA,NA,NA,4
"PO15","DDX5-215","Astrocyte","DDX5",FALSE,"Control",150,140,180,0.777777777777778,NA,NA,NA,27
"PO20","DDX5-215","Astrocyte","DDX5",FALSE,"Control",131,14,25,0.56,NA,NA,NA,7
"PO23","DDX5-215","Astrocyte","DDX5",FALSE,"Control",116,0,10,0,NA,NA,NA,7
"SMC027","DDX5-215","Astrocyte","DDX5",FALSE,"Control",445,322,690,0.466666666666667,NA,NA,NA,74
"SMC030","DDX5-215","Astrocyte","DDX5",FALSE,"Control",245,133,269,0.494423791821561,NA,NA,NA,48
"SMC033","DDX5-215","Astrocyte","DDX5",FALSE,"Control",524,10,50,0.2,NA,NA,NA,29
"SMC052","DDX5-215","Astrocyte","DDX5",FALSE,"Control",130,0,6,0,NA,NA,NA,1
"PO05","DDX5-238","Astrocyte","DDX5",FALSE,"AD",294,0,104,0,NA,NA,NA,16
"PO11","DDX5-238","Astrocyte","DDX5",FALSE,"AD",183,0,56,0,NA,NA,NA,18
"PO28","DDX5-238","Astrocyte","DDX5",FALSE,"AD",152,0,14,0,NA,NA,NA,8
"PO41","DDX5-238","Astrocyte","DDX5",FALSE,"AD",294,1,197,0.0050761421319797,NA,NA,NA,48
"PO42","DDX5-238","Astrocyte","DDX5",FALSE,"AD",688,4,174,0.0229885057471264,NA,NA,NA,26
"SMC029","DDX5-238","Astrocyte","DDX5",FALSE,"AD",192,0,309,0,NA,NA,NA,27
"SMC032","DDX5-238","Astrocyte","DDX5",FALSE,"AD",64,0,236,0,NA,NA,NA,12
"SMC036","DDX5-238","Astrocyte","DDX5",FALSE,"AD",78,0,5,0,NA,NA,NA,4
"SMC038","DDX5-238","Astrocyte","DDX5",FALSE,"AD",244,1,57,0.0175438596491228,NA,NA,NA,9
"SMC039","DDX5-238","Astrocyte","DDX5",FALSE,"AD",158,0,8,0,NA,NA,NA,5
"SMC041","DDX5-238","Astrocyte","DDX5",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","DDX5-238","Astrocyte","DDX5",FALSE,"AD",653,7,88,0.0795454545454545,NA,NA,NA,21
"SMC049","DDX5-238","Astrocyte","DDX5",FALSE,"AD",304,1,117,0.00854700854700855,NA,NA,NA,31
"PO13","DDX5-238","Astrocyte","DDX5",FALSE,"Control",55,0,9,0,NA,NA,NA,4
"PO15","DDX5-238","Astrocyte","DDX5",FALSE,"Control",150,6,180,0.0333333333333333,NA,NA,NA,27
"PO20","DDX5-238","Astrocyte","DDX5",FALSE,"Control",131,0,25,0,NA,NA,NA,7
"PO23","DDX5-238","Astrocyte","DDX5",FALSE,"Control",116,0,10,0,NA,NA,NA,7
"SMC027","DDX5-238","Astrocyte","DDX5",FALSE,"Control",445,1,690,0.00144927536231884,NA,NA,NA,74
"SMC030","DDX5-238","Astrocyte","DDX5",FALSE,"Control",245,0,269,0,NA,NA,NA,48
"SMC033","DDX5-238","Astrocyte","DDX5",FALSE,"Control",524,0,50,0,NA,NA,NA,29
"SMC052","DDX5-238","Astrocyte","DDX5",FALSE,"Control",130,0,6,0,NA,NA,NA,1
"PO05","DDX5-239","Astrocyte","DDX5",FALSE,"AD",294,4,104,0.0384615384615385,NA,NA,NA,16
"PO11","DDX5-239","Astrocyte","DDX5",FALSE,"AD",183,6,56,0.107142857142857,NA,NA,NA,18
