cell_type,gene_id,donor,n_cells_expressing_gene,n_cells_total_donor
Astrocyte,DDX5,PO05,16,294
Astrocyte,DDX5,PO11,18,183
Astrocyte,DDX5,PO13,4,55
Astrocyte,DDX5,PO15,27,150
Astrocyte,DDX5,PO20,7,131
Astrocyte,DDX5,PO23,7,116
Astrocyte,DDX5,PO28,8,152
Astrocyte,DDX5,PO41,48,294
Astrocyte,DDX5,PO42,26,688
Astrocyte,DDX5,SMC027,74,445
Astrocyte,DDX5,SMC029,27,192
Astrocyte,DDX5,SMC030,48,245
Astrocyte,DDX5,SMC031,25,371
Astrocyte,DDX5,SMC032,12,64
Astrocyte,DDX5,SMC033,29,524
Astrocyte,DDX5,SMC035,24,200
Astrocyte,DDX5,SMC036,4,78
Astrocyte,DDX5,SMC037,26,128
Astrocyte,DDX5,SMC038,9,244
Astrocyte,DDX5,SMC039,5,158
Astrocyte,DDX5,SMC041,0,22
Astrocyte,DDX5,SMC043,21,653
Astrocyte,DDX5,SMC049,31,304
Astrocyte,DDX5,SMC052,1,130
Astrocyte,DDX5,SMC053,11,216
Astrocyte,NTRK2,PO05,16,294
Astrocyte,NTRK2,PO11,2,183
Astrocyte,NTRK2,PO13,3,55
Astrocyte,NTRK2,PO15,33,150
Astrocyte,NTRK2,PO20,6,131
Astrocyte,NTRK2,PO23,8,116
Astrocyte,NTRK2,PO28,15,152
Astrocyte,NTRK2,PO41,39,294
Astrocyte,NTRK2,PO42,12,688
Astrocyte,NTRK2,SMC027,107,445
Astrocyte,NTRK2,SMC029,7,192
Astrocyte,NTRK2,SMC030,28,245
Astrocyte,NTRK2,SMC031,12,371
Astrocyte,NTRK2,SMC032,5,64
Astrocyte,NTRK2,SMC033,5,524
Astrocyte,NTRK2,SMC035,15,200
Astrocyte,NTRK2,SMC036,0,78
Astrocyte,NTRK2,SMC037,16,128
Astrocyte,NTRK2,SMC038,16,244
Astrocyte,NTRK2,SMC039,1,158
Astrocyte,NTRK2,SMC041,0,22
Astrocyte,NTRK2,SMC043,2,653
Astrocyte,NTRK2,SMC049,14,304
Astrocyte,NTRK2,SMC052,2,130
Astrocyte,NTRK2,SMC053,22,216
Excitatory_neuron,CAMK2B,PO05,42,1197
Excitatory_neuron,CAMK2B,PO11,37,1165
Excitatory_neuron,CAMK2B,PO13,12,777
Excitatory_neuron,CAMK2B,PO15,105,744
Excitatory_neuron,CAMK2B,PO20,33,1454
Excitatory_neuron,CAMK2B,PO23,318,1605
Excitatory_neuron,CAMK2B,PO28,193,1851
Excitatory_neuron,CAMK2B,PO41,119,973
Excitatory_neuron,CAMK2B,PO42,30,1303
Excitatory_neuron,CAMK2B,SMC027,31,129
Excitatory_neuron,CAMK2B,SMC029,8,150
Excitatory_neuron,CAMK2B,SMC030,122,915
Excitatory_neuron,CAMK2B,SMC031,25,389
Excitatory_neuron,CAMK2B,SMC032,64,578
Excitatory_neuron,CAMK2B,SMC033,262,2797
Excitatory_neuron,CAMK2B,SMC035,275,1589
Excitatory_neuron,CAMK2B,SMC036,9,206
Excitatory_neuron,CAMK2B,SMC037,80,1120
Excitatory_neuron,CAMK2B,SMC038,313,1640
Excitatory_neuron,CAMK2B,SMC039,10,413
Excitatory_neuron,CAMK2B,SMC041,66,1746
Excitatory_neuron,CAMK2B,SMC043,2,105
Excitatory_neuron,CAMK2B,SMC049,1264,4070
Excitatory_neuron,CAMK2B,SMC052,346,4785
Excitatory_neuron,CAMK2B,SMC053,573,3231
Excitatory_neuron,CSRNP3,PO05,15,1197
Excitatory_neuron,CSRNP3,PO11,23,1165
Excitatory_neuron,CSRNP3,PO13,3,777
Excitatory_neuron,CSRNP3,PO15,47,744
Excitatory_neuron,CSRNP3,PO20,2,1454
Excitatory_neuron,CSRNP3,PO23,35,1605
Excitatory_neuron,CSRNP3,PO28,31,1851
Excitatory_neuron,CSRNP3,PO41,16,973
Excitatory_neuron,CSRNP3,PO42,7,1303
Excitatory_neuron,CSRNP3,SMC027,1,129
Excitatory_neuron,CSRNP3,SMC029,1,150
Excitatory_neuron,CSRNP3,SMC030,54,915
Excitatory_neuron,CSRNP3,SMC031,0,389
Excitatory_neuron,CSRNP3,SMC032,25,578
Excitatory_neuron,CSRNP3,SMC033,61,2797
Excitatory_neuron,CSRNP3,SMC035,27,1589
Excitatory_neuron,CSRNP3,SMC036,3,206
Excitatory_neuron,CSRNP3,SMC037,21,1120
Excitatory_neuron,CSRNP3,SMC038,33,1640
Excitatory_neuron,CSRNP3,SMC039,3,413
Excitatory_neuron,CSRNP3,SMC041,1,1746
Excitatory_neuron,CSRNP3,SMC043,1,105
Excitatory_neuron,CSRNP3,SMC049,106,4070
Excitatory_neuron,CSRNP3,SMC052,16,4785
Excitatory_neuron,CSRNP3,SMC053,59,3231
Excitatory_neuron,EIF4G2,PO05,10,1197
Excitatory_neuron,EIF4G2,PO11,24,1165
Excitatory_neuron,EIF4G2,PO13,11,777
Excitatory_neuron,EIF4G2,PO15,69,744
Excitatory_neuron,EIF4G2,PO20,9,1454
Excitatory_neuron,EIF4G2,PO23,45,1605
Excitatory_neuron,EIF4G2,PO28,69,1851
Excitatory_neuron,EIF4G2,PO41,45,973
Excitatory_neuron,EIF4G2,PO42,10,1303
Excitatory_neuron,EIF4G2,SMC027,1,129
Excitatory_neuron,EIF4G2,SMC029,1,150
Excitatory_neuron,EIF4G2,SMC030,61,915
Excitatory_neuron,EIF4G2,SMC031,2,389
Excitatory_neuron,EIF4G2,SMC032,13,578
Excitatory_neuron,EIF4G2,SMC033,50,2797
