gates,n_pairs_passing_at_least,genes
D,93,"ACACA, ALDH1L1, ALDH3A2, ARID4A, ATP1A3, BIRC6, CHD1, CLK4, CRAT, CTNNB1, DCLK1, DNPEP, DOCK10, ERCC2, FMO5, GABRA2, GAPVD1, GATM, GPNMB, HGF, HTRA1, IFNAR1, IFNAR2, IL6ST, KMT5B, LIG1, MLST8, MTHFD1, PADI2, PAPOLA, PHF8, PIK3CA, POMT2, POR, PRKD1, PRKG2, PRORP, RARB, RBL2, RGS12, SACM1L, SGMS1, SLC11A2, SOD2, SORT1, SPG7, SPP1, SRSF10, STAT3, SYNJ2, TLK2, TNIK, TUT7, VCP, ZDHHC3"
B,72,"ACACA, ALDH1L1, ALDH3A2, ARID4A, ATP1A3, BIRC6, CHD1, CRAT, CTNNB1, DCLK1, DNPEP, DOCK10, ERCC2, FMO5, GABRA2, GAPVD1, GATM, GPNMB, HGF, IFNAR1, IFNAR2, IL6ST, KMT5B, LIG1, MLST8, MTHFD1, PHF8, PIK3CA, POMT2, POR, PRKD1, PRKG2, PRORP, RARB, RBL2, RGS12, SACM1L, SLC11A2, SOD2, SORT1, SPG7, SPP1, SRSF10, STAT3, SYNJ2, TLK2, TNIK, TUT7, VCP, ZDHHC3"
BD,72,"ACACA, ALDH1L1, ALDH3A2, ARID4A, ATP1A3, BIRC6, CHD1, CRAT, CTNNB1, DCLK1, DNPEP, DOCK10, ERCC2, FMO5, GABRA2, GAPVD1, GATM, GPNMB, HGF, IFNAR1, IFNAR2, IL6ST, KMT5B, LIG1, MLST8, MTHFD1, PHF8, PIK3CA, POMT2, POR, PRKD1, PRKG2, PRORP, RARB, RBL2, RGS12, SACM1L, SLC11A2, SOD2, SORT1, SPG7, SPP1, SRSF10, STAT3, SYNJ2, TLK2, TNIK, TUT7, VCP, ZDHHC3"
A,47,"ACACA, ARID4A, CHD1, CLK4, CTNNB1, DCLK1, DOCK10, ERCC2, FMO5, GATM, GPNMB, HGF, HTRA1, IFNAR1, IFNAR2, KMT5B, MLST8, MTHFD1, PADI2, PAPOLA, PHF8, POMT2, POR, PRKD1, PRKG2, SACM1L, SOD2, SORT1, SPG7, SPP1, SRSF10, STAT3, SYNJ2, TLK2, TNIK, TUT7, VCP, ZDHHC3"
AD,47,"ACACA, ARID4A, CHD1, CLK4, CTNNB1, DCLK1, DOCK10, ERCC2, FMO5, GATM, GPNMB, HGF, HTRA1, IFNAR1, IFNAR2, KMT5B, MLST8, MTHFD1, PADI2, PAPOLA, PHF8, POMT2, POR, PRKD1, PRKG2, SACM1L, SOD2, SORT1, SPG7, SPP1, SRSF10, STAT3, SYNJ2, TLK2, TNIK, TUT7, VCP, ZDHHC3"
AB,36,"ACACA, ARID4A, CHD1, CTNNB1, DCLK1, DOCK10, ERCC2, FMO5, GATM, GPNMB, IFNAR1, IFNAR2, KMT5B, MLST8, MTHFD1, PHF8, POMT2, POR, PRKD1, PRKG2, SACM1L, SOD2, SORT1, SPP1, SRSF10, TLK2, TNIK, TUT7, VCP, ZDHHC3"
ABD,36,"ACACA, ARID4A, CHD1, CTNNB1, DCLK1, DOCK10, ERCC2, FMO5, GATM, GPNMB, IFNAR1, IFNAR2, KMT5B, MLST8, MTHFD1, PHF8, POMT2, POR, PRKD1, PRKG2, SACM1L, SOD2, SORT1, SPP1, SRSF10, TLK2, TNIK, TUT7, VCP, ZDHHC3"
C,27,"ACACA, ATP1A3, CTNNB1, DNPEP, GABRA2, GPNMB, HGF, IFNAR1, IFNAR2, IL6ST, MLST8, PIK3CA, PRKD1, RARB, SPP1, STAT3"
CD,27,"ACACA, ATP1A3, CTNNB1, DNPEP, GABRA2, GPNMB, HGF, IFNAR1, IFNAR2, IL6ST, MLST8, PIK3CA, PRKD1, RARB, SPP1, STAT3"
BC,21,"ACACA, ATP1A3, CTNNB1, DNPEP, GABRA2, GPNMB, HGF, IFNAR1, IFNAR2, IL6ST, MLST8, PIK3CA, PRKD1, RARB, SPP1, STAT3"
BCD,21,"ACACA, ATP1A3, CTNNB1, DNPEP, GABRA2, GPNMB, HGF, IFNAR1, IFNAR2, IL6ST, MLST8, PIK3CA, PRKD1, RARB, SPP1, STAT3"
AC,12,"ACACA, CTNNB1, GPNMB, HGF, IFNAR1, IFNAR2, MLST8, PRKD1, SPP1, STAT3"
ACD,12,"ACACA, CTNNB1, GPNMB, HGF, IFNAR1, IFNAR2, MLST8, PRKD1, SPP1, STAT3"
ABC,9,"ACACA, CTNNB1, GPNMB, IFNAR1, IFNAR2, MLST8, PRKD1, SPP1"
ABCD,9,"ACACA, CTNNB1, GPNMB, IFNAR1, IFNAR2, MLST8, PRKD1, SPP1"
