Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q99523	SORT1	Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3)	831	"DOMAIN 98..742; /note=""Vps10p""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01417"""			"REPEAT 145..156; /note=""BNR 1""; REPEAT 198..209; /note=""BNR 2""; REPEAT 240..251; /note=""BNR 3""; REPEAT 287..298; /note=""BNR 4""; REPEAT 328..339; /note=""BNR 5""; REPEAT 377..388; /note=""BNR 6""; REPEAT 428..439; /note=""BNR 7""; REPEAT 506..517; /note=""BNR 8""; REPEAT 548..559; /note=""BNR 9"""	
Q9H0A9	SPATC1L C21orf56	Speriolin-like protein (Spermatogenesis and centriole-associated protein 1-like protein)	340					
P62273	RPS29	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	56		"BINDING 21; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000269|PubMed:25957688, ECO:0007744|PDB:5A2Q, ECO:0007744|PDB:5AJ0""; BINDING 24; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000269|PubMed:25957688, ECO:0007744|PDB:5A2Q, ECO:0007744|PDB:5AJ0, ECO:0007744|PDB:5FLX, ECO:0007744|PDB:5LKS""; BINDING 39; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000269|PubMed:25957688, ECO:0007744|PDB:5A2Q, ECO:0007744|PDB:5AJ0, ECO:0007744|PDB:5FLX, ECO:0007744|PDB:5LKS""; BINDING 42; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000269|PubMed:25957688, ECO:0007744|PDB:5A2Q, ECO:0007744|PDB:5AJ0, ECO:0007744|PDB:5LKS"""			
Q6ZT89	SLC25A48	Solute carrier family 25 member 48	311				"REPEAT 3..86; /note=""Solcar 1""; REPEAT 101..205; /note=""Solcar 2""; REPEAT 214..301; /note=""Solcar 3"""	
Q96CQ1	SLC25A36	Solute carrier family 25 member 36	311				"REPEAT 4..108; /note=""Solcar 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00282""; REPEAT 116..203; /note=""Solcar 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00282""; REPEAT 224..308; /note=""Solcar 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00282"""	
Q8NB59	SYT14	Synaptotagmin-14 (Synaptotagmin XIV) (SytXIV)	555	"DOMAIN 260..379; /note=""C2 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 415..550; /note=""C2 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041"""				
Q8N5C6	SRBD1	S1 RNA-binding domain-containing protein 1	995	"DOMAIN 919..992; /note=""S1 motif""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00180"""				
Q9Y2D2	SLC35A3	UDP-N-acetylglucosamine transporter (Golgi UDP-GlcNAc transporter) (Solute carrier family 35 member A3)	325					
Q01826	SATB1	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	763	"DOMAIN 71..172; /note=""CMP""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01326""; DOMAIN 175..248; /note=""CUTL""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01327"""	"BINDING 390; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; /ligand_part=""matrix attachment region (MAR) of DNA""; BINDING 400..410; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; /ligand_part=""matrix attachment region (MAR) of DNA""; BINDING 425; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; /ligand_part=""matrix attachment region (MAR) of DNA"""			
Q9H0E3	SAP130	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)	1048					
P84098	RPL19	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	196					
P62266	RPS23	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	143					
Q92736	RYR2	Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)	4967	"DOMAIN 110..165; /note=""MIR 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00131""; DOMAIN 172..217; /note=""MIR 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00131""; DOMAIN 225..280; /note=""MIR 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00131""; DOMAIN 286..343; /note=""MIR 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00131""; DOMAIN 351..408; /note=""MIR 5""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00131""; DOMAIN 599..809; /note=""B30.2/SPRY 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00548""; DOMAIN 1025..1222; /note=""B30.2/SPRY 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00548""; DOMAIN 1337..1562; /note=""B30.2/SPRY 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00548"""			"REPEAT 853..966; /note=""1""; REPEAT 967..1080; /note=""2""; REPEAT 2692..2810; /note=""3""; REPEAT 2812..2925; /note=""4"""	
P04179	SOD2	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	222		"BINDING 50; /ligand=""Mn(2+)""; /ligand_id=""ChEBI:CHEBI:29035""; /evidence=""ECO:0000269|PubMed:10852710, ECO:0000269|PubMed:11580280, ECO:0000269|PubMed:1394426, ECO:0000269|PubMed:19265433, ECO:0000269|PubMed:9537987, ECO:0000269|PubMed:9537988, ECO:0000312|PDB:1JA8, ECO:0007744|PDB:1AP5, ECO:0007744|PDB:1AP6, ECO:0007744|PDB:1EM1, ECO:0007744|PDB:1N0J, ECO:0007744|PDB:1QNM, ECO:0007744|PDB:1ZSP, ECO:0007744|PDB:1ZTE, ECO:0007744|PDB:1ZUQ, ECO:0007744|PDB:2P4K""; BINDING 98; /ligand=""Mn(2+)""; /ligand_id=""ChEBI:CHEBI:29035""; /evidence=""ECO:0000269|PubMed:10852710, ECO:0000269|PubMed:11580280, ECO:0000269|PubMed:1394426, ECO:0000269|PubMed:19265433, ECO:0000269|PubMed:9537987, ECO:0000269|PubMed:9537988, ECO:0000312|PDB:1JA8, ECO:0007744|PDB:1AP5, ECO:0007744|PDB:1AP6, ECO:0007744|PDB:1EM1, ECO:0007744|PDB:1N0J, ECO:0007744|PDB:1QNM, ECO:0007744|PDB:1ZSP, ECO:0007744|PDB:1ZTE, ECO:0007744|PDB:1ZUQ, ECO:0007744|PDB:2P4K""; BINDING 183; /ligand=""Mn(2+)""; /ligand_id=""ChEBI:CHEBI:29035""; /evidence=""ECO:0000269|PubMed:10852710, ECO:0000269|PubMed:11580280, ECO:0000269|PubMed:1394426, ECO:0000269|PubMed:19265433, ECO:0000269|PubMed:9537987, ECO:0000269|PubMed:9537988, ECO:0000312|PDB:1JA8, ECO:0007744|PDB:1AP5, ECO:0007744|PDB:1AP6, ECO:0007744|PDB:1EM1, ECO:0007744|PDB:1N0J, ECO:0007744|PDB:1QNM, ECO:0007744|PDB:1ZSP, ECO:0007744|PDB:1ZTE, ECO:0007744|PDB:1ZUQ, ECO:0007744|PDB:2P4K""; BINDING 187; /ligand=""Mn(2+)""; /ligand_id=""ChEBI:CHEBI:29035""; /evidence=""ECO:0000269|PubMed:10852710, ECO:0000269|PubMed:11580280, ECO:0000269|PubMed:1394426, ECO:0000269|PubMed:19265433, ECO:0000269|PubMed:9537987, ECO:0000269|PubMed:9537988, ECO:0000312|PDB:1JA8, ECO:0007744|PDB:1AP5, ECO:0007744|PDB:1AP6, ECO:0007744|PDB:1EM1, ECO:0007744|PDB:1N0J, ECO:0007744|PDB:1QNM, ECO:0007744|PDB:1ZSP, ECO:0007744|PDB:1ZTE, ECO:0007744|PDB:1ZUQ, ECO:0007744|PDB:2P4K"""			
