Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q86UB2	BIVM	Basic immunoglobulin-like variable motif-containing protein	503					
P13637	ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 7.2.2.13) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3)	1013		"BINDING 366; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:Q13733""; BINDING 368; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:Q13733""; BINDING 440; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 443; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 472; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 474; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 541; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 607; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 608; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 609; /ligand=""ADP""; /ligand_id=""ChEBI:CHEBI:456216""; /evidence=""ECO:0000269|PubMed:36075933, ECO:0007744|PDB:8D3U""; BINDING 707; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:Q13733""; BINDING 711; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:Q13733"""	"ACT_SITE 366; /note=""4-aspartylphosphate intermediate""; /evidence=""ECO:0000250|UniProtKB:P19156"""		
P84085	ARF5	ADP-ribosylation factor 5	180		"BINDING 24..31; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; BINDING 67..71; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; BINDING 126..129; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565"""			
O14867	BACH1	Transcription regulator protein BACH1 (BTB and CNC homolog 1) (HA2303)	736	"DOMAIN 34..100; /note=""BTB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00037""; DOMAIN 557..620; /note=""bZIP""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00978"""				
O75964	ATP5MG ATP5L	ATP synthase F(0) complex subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)	103					
P18850	ATF6	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	670	"DOMAIN 306..369; /note=""bZIP""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00978"""				
Q9H324	ADAMTS10	A disintegrin and metalloproteinase with thrombospondin motifs 10 (ADAM-TS 10) (ADAM-TS10) (ADAMTS-10) (EC 3.4.24.-)	1103	"DOMAIN 239..457; /note=""Peptidase M12B""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00276""; DOMAIN 460..546; /note=""Disintegrin""; DOMAIN 547..602; /note=""TSP type-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00210""; DOMAIN 825..883; /note=""TSP type-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00210""; DOMAIN 884..945; /note=""TSP type-1 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00210""; DOMAIN 947..1001; /note=""TSP type-1 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00210""; DOMAIN 1003..1058; /note=""TSP type-1 5""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00210""; DOMAIN 1065..1103; /note=""PLAC""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00233"""	"BINDING 392; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_note=""catalytic""; /evidence=""ECO:0000250""; BINDING 396; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_note=""catalytic""; /evidence=""ECO:0000250""; BINDING 402; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_note=""catalytic""; /evidence=""ECO:0000250"""	"ACT_SITE 393; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00276, ECO:0000255|PROSITE-ProRule:PRU10095"""		
Q709F0	ACAD11	Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.8)	780		"BINDING 504..514; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /ligand_note=""ligand shared between dimeric partners""; /note=""in other chain""; /evidence=""ECO:0000269|Ref.9""; BINDING 514; /ligand=""substrate""; /evidence=""ECO:0000250""; BINDING 538..540; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /ligand_note=""ligand shared between dimeric partners""; /note=""in other chain""; /evidence=""ECO:0000269|Ref.9""; BINDING 629..632; /ligand=""substrate""; /evidence=""ECO:0000250""; BINDING 657; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /ligand_note=""ligand shared between dimeric partners""; /evidence=""ECO:0000269|Ref.9""; BINDING 727..731; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /ligand_note=""ligand shared between dimeric partners""; /evidence=""ECO:0000269|Ref.9""; BINDING 727; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /ligand_note=""ligand shared between dimeric partners""; /note=""in other chain""; /evidence=""ECO:0000269|Ref.9""; BINDING 755; /ligand=""substrate""; BINDING 756..758; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /ligand_note=""ligand shared between dimeric partners""; /note=""in other chain""; /evidence=""ECO:0000269|Ref.9"""			
Q13315	ATM	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	3056	"DOMAIN 1940..2566; /note=""FAT""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534""; DOMAIN 2686..2998; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""; DOMAIN 3024..3056; /note=""FATC""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534, ECO:0000255|PROSITE-ProRule:PRU00535"""				
Q9H845	ACAD9	Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.7, EC 1.3.8.8)	621			"ACT_SITE 426; /note=""Proton acceptor""; /evidence=""ECO:0000305|PubMed:24158852"""		
P47756	CAPZB	F-actin-capping protein subunit beta (CapZ beta)	272					
O94911	ABCA8 KIAA0822	ABC-type organic anion transporter ABCA8 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8)	1621	"DOMAIN 480..715; /note=""ABC transporter 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434""; DOMAIN 1285..1518; /note=""ABC transporter 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""	"BINDING 516..523; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /ligand_label=""1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434""; BINDING 1323..1330; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /ligand_label=""2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""			
O43684	BUB3	Mitotic checkpoint protein BUB3	328				"REPEAT 4..44; /note=""WD 1""; REPEAT 47..84; /note=""WD 2""; REPEAT 87..125; /note=""WD 3""; REPEAT 129..164; /note=""WD 4""; REPEAT 170..210; /note=""WD 5""; REPEAT 217..263; /note=""WD 6""; REPEAT 267..316; /note=""WD 7"""	
P49588	AARS1 AARS	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS1) (EC 6.-.-.-) (Renal carcinoma antigen NY-REN-42)	968		"BINDING 77; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 95; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 176; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 214..216; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 216; /ligand=""L-alanine""; /ligand_id=""ChEBI:CHEBI:57972""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 239; /ligand=""L-alanine""; /ligand_id=""ChEBI:CHEBI:57972""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 243; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:27622773, ECO:0000269|Ref.27, ECO:0007744|PDB:4XEM, ECO:0007744|PDB:4XEO, ECO:0007744|PDB:5KNN""; BINDING 605; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03133""; BINDING 609; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03133""; BINDING 723; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03133""; BINDING 727; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03133"""			
Q52LW3	ARHGAP29 PARG1	Rho GTPase-activating protein 29 (PTPL1-associated RhoGAP protein 1) (Rho-type GTPase-activating protein 29)	1261	"DOMAIN 192..462; /note=""F-BAR""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01077""; DOMAIN 671..886; /note=""Rho-GAP""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00172"""				"ZN_FING 612..657; /note=""Phorbol-ester/DAG-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00226"""
O75891	ALDH1L1 FTHFD	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)	902	"DOMAIN 318..395; /note=""Carrier""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00258"""	"BINDING 88..90; /ligand=""(6R)-10-formyltetrahydrofolate""; /ligand_id=""ChEBI:CHEBI:195366""; /evidence=""ECO:0000305|PubMed:17057331, ECO:0007744|PDB:2CFI""; BINDING 142; /ligand=""(6R)-10-formyltetrahydrofolate""; /ligand_id=""ChEBI:CHEBI:195366""; /evidence=""ECO:0000305|PubMed:17057331, ECO:0007744|PDB:2CFI""; BINDING 571..573; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037""; BINDING 597..600; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037""; BINDING 630..635; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037""; BINDING 650..651; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037""; BINDING 673..674; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037""; BINDING 757; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037""; BINDING 804..806; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /evidence=""ECO:0000250|UniProtKB:P28037"""	"ACT_SITE 106; /note=""Proton donor""; /evidence=""ECO:0000250|UniProtKB:P28037""; ACT_SITE 673; /note=""Proton acceptor""; /evidence=""ECO:0000250|UniProtKB:P28037""; ACT_SITE 707; /note=""Proton donor""; /evidence=""ECO:0000250|UniProtKB:P28037"""		
O15234	CASC3 MLN51	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	703					
P50995	ANXA11 ANX11	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	505				"REPEAT 200..271; /note=""Annexin 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01245""; REPEAT 272..343; /note=""Annexin 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01245""; REPEAT 355..427; /note=""Annexin 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01245""; REPEAT 431..502; /note=""Annexin 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01245"""	
Q4VCS5	AMOT KIAA1071	Angiomotin	1084					
Q03135	CAV1 CAV	Caveolin-1	178					
Q8IWZ6	BBS7 BBS2L1	BBSome complex member BBS7 (BBS2-like protein 1) (Bardet-Biedl syndrome 7 protein)	715					
Q13795	ARFRP1 ARP1	ADP-ribosylation factor-related protein 1 (ARF-related protein 1) (ARP)	201		"BINDING 24..31; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000250""; BINDING 75..79; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000250""; BINDING 134..137; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000250"""			
Q9NP78	ABCB9 KIAA1520	ABC-type oligopeptide transporter ABCB9 (EC 7.4.2.6) (ATP-binding cassette sub-family B member 9) (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)	766	"DOMAIN 188..471; /note=""ABC transmembrane type-1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; DOMAIN 504..740; /note=""ABC transporter""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""	"BINDING 539..546; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""			
Q8TD16	BICD2 KIAA0699	Protein bicaudal D homolog 2 (Bic-D 2)	824					
Q9UJX4	ANAPC5 APC5	Anaphase-promoting complex subunit 5 (APC5) (Cyclosome subunit 5)	755				"REPEAT 206..249; /note=""TPR 1""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 250..296; /note=""TPR 2""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 297..337; /note=""TPR 3""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 338..378; /note=""TPR 4""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 379..413; /note=""TPR 5""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 414..466; /note=""TPR 6""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 467..500; /note=""TPR 7""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 501..538; /note=""TPR 8""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 539..575; /note=""TPR 9""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 578..620; /note=""TPR 10""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 621..660; /note=""TPR 11""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 661..705; /note=""TPR 12""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW""; REPEAT 706..744; /note=""TPR 13""; /evidence=""ECO:0000269|PubMed:27120157, ECO:0000269|PubMed:27509861, ECO:0007744|PDB:5G04, ECO:0007744|PDB:5LCW"""	
P16615	ATP2A2 ATP2B	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	1042		"BINDING 304; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 305; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 307; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 309; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 351; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 353; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 353; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 442; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 489; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 514; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 559; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P04191""; BINDING 624; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P04191""; BINDING 625; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P04191""; BINDING 626; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 677; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 683; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P04191""; BINDING 702; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 705; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 767; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 770; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 795; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 798; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 799; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 799; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:P11607""; BINDING 907; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:P04191"""	"ACT_SITE 351; /note=""4-aspartylphosphate intermediate""; /evidence=""ECO:0000250|UniProtKB:P04191"""		
Q4G176	ACSF3 PSEC0197	Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.76) (Acyl-CoA synthetase family member 3)	576		"BINDING 202..210; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250""; BINDING 457; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250""; BINDING 471; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250""; BINDING 563; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250"""			
Q7Z5H3	ARHGAP22 RHOGAP2	Rho GTPase-activating protein 22 (Rho-type GTPase-activating protein 22)	698	"DOMAIN 37..145; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 155..349; /note=""Rho-GAP""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00172"""				
