Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q9UP65	PLA2G4C	Cytosolic phospholipase A2 gamma (cPLA2-gamma) (EC 3.1.1.4) (Cytosolic lysophospholipase) (EC 3.1.1.5) (Cytosolic lysophospholipid O-acyltransferase) (EC 2.3.1.-) (Phospholipase A2 group IVC)	541	"DOMAIN 1..541; /note=""PLA2c""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00555"""		"ACT_SITE 82; /note=""Nucleophile""; /evidence=""ECO:0000305|PubMed:10085124""; ACT_SITE 385; /note=""Proton acceptor""; /evidence=""ECO:0000305|PubMed:10085124"""		
Q8N2H9	PELI3	E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27)	469					
Q9UN73	PCDHA6 CNRS2	Protocadherin alpha-6 (PCDH-alpha-6)	950	"DOMAIN 34..133; /note=""Cadherin 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043""; DOMAIN 157..242; /note=""Cadherin 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043""; DOMAIN 243..350; /note=""Cadherin 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043""; DOMAIN 351..455; /note=""Cadherin 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043""; DOMAIN 456..565; /note=""Cadherin 5""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043""; DOMAIN 581..678; /note=""Cadherin 6""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043"""			"REPEAT 799..802; /note=""PXXP 1""; REPEAT 832..835; /note=""PXXP 2""; REPEAT 873..876; /note=""PXXP 3""; REPEAT 891..894; /note=""PXXP 4"""	
Q8TEB7	RNF128	E3 ubiquitin-protein ligase RNF128 (EC 2.3.2.27) (Gene related to anergy in lymphocytes protein) (GRAIL) (RING finger protein 128) (RING-type E3 ubiquitin transferase RNF128)	428	"DOMAIN 75..183; /note=""PA"""				"ZN_FING 277..318; /note=""RING-type; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175"""
P11801	PSKH1	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)	424	"DOMAIN 98..355; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""	"BINDING 104..112; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; BINDING 127; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""	"ACT_SITE 218; /note=""Proton acceptor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027"""		
Q9H875	PRKRIP1	PRKR-interacting protein 1	184					
O14924	RGS12	Regulator of G protein signaling 12 (RGS12)	1447	"DOMAIN 22..98; /note=""PDZ""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00143""; DOMAIN 228..340; /note=""PID""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00148""; DOMAIN 715..832; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 962..1032; /note=""RBD 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 1034..1104; /note=""RBD 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 1187..1209; /note=""GoLoco""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00097"""				
Q9H0K6	PUS7L	Pseudouridylate synthase PUS7L (EC 5.4.99.-) (Pseudouridylate synthase 7 homolog-like protein)	701	"DOMAIN 424..647; /note=""TRUD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00342"""		"ACT_SITE 339; /note=""Nucleophile""; /evidence=""ECO:0000250|UniProtKB:Q57261"""		
Q04864	REL	Proto-oncogene c-Rel	619	"DOMAIN 8..297; /note=""RHD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00265"""				
Q96IZ5	RBM41	RNA-binding protein 41 (RNA-binding motif protein 41)	413	"DOMAIN 309..387; /note=""RRM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""				
