Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q8NFZ3	NLGN4Y KIAA0951	Neuroligin-4, Y-linked (Neuroligin Y)	816					
P37198	NUP62	Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)	522				"REPEAT 6..7; /note=""1""; REPEAT 44..45; /note=""2""; REPEAT 76..77; /note=""3""; REPEAT 114..115; /note=""4""; REPEAT 142..143; /note=""5"""	
Q53GL7	PARP10	Protein mono-ADP-ribosyltransferase PARP10 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 10) (ARTD10) (Poly [ADP-ribose] polymerase 10) (PARP-10)	1025	"DOMAIN 806..1025; /note=""PARP catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00397"""				
Q969S2	NEIL2	Endonuclease 8-like 2 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil2) (DNA-(apurinic or apyrimidinic site) lyase Neil2) (Endonuclease VIII-like 2) (Nei homolog 2) (NEH2) (Nei-like protein 2)	332		"BINDING 231; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; /evidence=""ECO:0000250"""	"ACT_SITE 2; /note=""Schiff-base intermediate with DNA""; /evidence=""ECO:0000305""; ACT_SITE 3; /note=""Proton donor""; /evidence=""ECO:0000305""; ACT_SITE 50; /note=""Proton donor; for beta-elimination activity""; /evidence=""ECO:0000305""; ACT_SITE 310; /note=""Proton donor; for delta-elimination activity""; /evidence=""ECO:0000305"""		"ZN_FING 284..320; /note=""FPG-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00391"""
Q9UQ49	NEU3	Sialidase-3 (EC 3.2.1.18) (Ganglioside sialidasedis) (Membrane sialidase) (N-acetyl-alpha-neuraminidase 3) (Neuraminidase 3)	428		"BINDING 25; /ligand=""substrate""; /evidence=""ECO:0000250|UniProtKB:Q9Y3R4""; BINDING 45; /ligand=""substrate""; /evidence=""ECO:0000250|UniProtKB:Q9Y3R4""; BINDING 179; /ligand=""substrate""; /evidence=""ECO:0000250|UniProtKB:Q9Y3R4""; BINDING 225; /ligand=""substrate""; /evidence=""ECO:0000250|UniProtKB:Q9Y3R4""; BINDING 245; /ligand=""substrate""; /evidence=""ECO:0000250|UniProtKB:Q9Y3R4""; BINDING 340; /ligand=""substrate""; /evidence=""ECO:0000250|UniProtKB:Q9Y3R4"""	"ACT_SITE 50; /note=""Proton acceptor""; /evidence=""ECO:0000305|PubMed:20511247""; ACT_SITE 225; /note=""Nucleophile""; /evidence=""ECO:0000305|PubMed:20511247""; ACT_SITE 370; /note=""Nucleophile""; /evidence=""ECO:0000305|PubMed:20511247"""	"REPEAT 129..140; /note=""BNR 1""; REPEAT 203..214; /note=""BNR 2""; REPEAT 254..265; /note=""BNR 3"""	
O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	175					
Q8TD10	MIPOL1	Mirror-image polydactyly gene 1 protein	442					
Q969V3	NCLN	BOS complex subunit NCLN (Nicalin) (Nicastrin-like protein)	563					
Q9UHQ1	NARF	Nuclear prelamin A recognition factor (Iron-only hydrogenase-like protein 2) (IOP2)	456					
Q9Y605	MRFAP1 PAM14 PGR1	MORF4 family-associated protein 1 (Protein PGR1) (Protein associated with MRG of 14 kDa)	127					
O95299	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	355					
P51513	NOVA1	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1)	507	"DOMAIN 49..116; /note=""KH 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00117""; DOMAIN 171..237; /note=""KH 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00117""; DOMAIN 421..488; /note=""KH 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00117"""				
Q8N3R9	PALS1 MPP5	Protein PALS1 (MAGUK p55 subfamily member 5) (Membrane protein, palmitoylated 5) (Protein associated with Lin-7 1)	675	"DOMAIN 120..177; /note=""L27 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00365""; DOMAIN 179..235; /note=""L27 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00365""; DOMAIN 256..336; /note=""PDZ""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00143""; DOMAIN 345..417; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 479..660; /note=""Guanylate kinase-like""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00100"""	"BINDING 486..493; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00100"""			
