Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q6ZV65	FAM47E	Protein FAM47E	393					
Q9P2T1	GMPR2	GMP reductase 2 (GMPR 2) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 2) (Guanosine monophosphate reductase 2)	348		"BINDING 26..27; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469""; BINDING 78; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /note=""in other chain""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469""; BINDING 129..131; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /note=""in other chain""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469""; BINDING 180..181; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /note=""in other chain""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469""; BINDING 181; /ligand=""K(+)""; /ligand_id=""ChEBI:CHEBI:29103""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 183; /ligand=""K(+)""; /ligand_id=""ChEBI:CHEBI:29103""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 186; /ligand=""K(+)""; /ligand_id=""ChEBI:CHEBI:29103""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 189; /ligand=""K(+)""; /ligand_id=""ChEBI:CHEBI:29103""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 219..221; /ligand=""GMP""; /ligand_id=""ChEBI:CHEBI:58115""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 242..243; /ligand=""GMP""; /ligand_id=""ChEBI:CHEBI:58115""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 268..270; /ligand=""GMP""; /ligand_id=""ChEBI:CHEBI:58115""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 269; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /note=""in other chain""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469""; BINDING 285..286; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /note=""in other chain""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469""; BINDING 286..290; /ligand=""GMP""; /ligand_id=""ChEBI:CHEBI:58115""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; BINDING 314..317; /ligand=""NADP(+)""; /ligand_id=""ChEBI:CHEBI:58349""; /ligand_note=""ligand shared between two neighboring subunits""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195, ECO:0000269|PubMed:22037469"""	"ACT_SITE 186; /note=""Thioimidate intermediate""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195""; ACT_SITE 188; /note=""Proton donor/acceptor""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03195"""		
P57678	GEMIN4	Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97)	1058					
Q9Y692	GMEB1	Glucocorticoid modulatory element-binding protein 1 (GMEB-1) (DNA-binding protein p96PIF) (Parvovirus initiation factor p96) (PIF p96)	573	"DOMAIN 82..166; /note=""SAND""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00185"""	"BINDING 113; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; BINDING 139; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; BINDING 143; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; BINDING 146; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; BINDING 157; /ligand=""DNA""; /ligand_id=""ChEBI:CHEBI:16991""; BINDING 170; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; BINDING 174; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; BINDING 178; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105"""			
Q8NEJ0	DUSP18 LMWDSP20	Dual specificity protein phosphatase 18 (EC 3.1.3.16) (EC 3.1.3.48) (Low molecular weight dual specificity phosphatase 20) (LMW-DSP20)	188	"DOMAIN 19..160; /note=""Tyrosine-protein phosphatase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00160"""		"ACT_SITE 104; /note=""Phosphocysteine intermediate""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00160"""		
Q8TB36	GDAP1	Ganglioside-induced differentiation-associated protein 1 (GDAP1)	358	"DOMAIN 24..105; /note=""GST N-terminal""; DOMAIN 153..309; /note=""GST C-terminal"""				
Q9NY33	DPP3	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)	737		"BINDING 450; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_note=""catalytic""; /evidence=""ECO:0000269|PubMed:22493238, ECO:0007744|PDB:3FVY""; BINDING 455; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_note=""catalytic""; /evidence=""ECO:0000269|PubMed:22493238, ECO:0007744|PDB:3FVY""; BINDING 508; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_note=""catalytic""; /evidence=""ECO:0000269|PubMed:22493238, ECO:0007744|PDB:3FVY"""	"ACT_SITE 451; /evidence=""ECO:0000250|UniProtKB:O55096"""		
Q6ZPD9	DPY19L3	Protein C-mannosyl-transferase DPY19L3 (EC 2.4.1.-) (Dpy-19-like protein 3) (Protein dpy-19 homolog 3)	716					
Q5HYJ3	FAM76B	Protein FAM76B	339					
P47869	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2) (GABAAR subunit alpha-2)	451		"BINDING 94; /ligand=""4-aminobutanoate""; /ligand_id=""ChEBI:CHEBI:59888""; /ligand_note=""ligand shared with the neighboring beta subunit""; /evidence=""ECO:0000250|UniProtKB:P14867""; BINDING 157; /ligand=""4-aminobutanoate""; /ligand_id=""ChEBI:CHEBI:59888""; /ligand_note=""ligand shared with the neighboring beta subunit""; /evidence=""ECO:0000250|UniProtKB:P62813"""			
