transcript_name,gene_name,cell_type,isoform_role,usage_direction,tx_role_mane
ACAD9-201,ACAD9,Astrocyte,Dominant,CT_enriched,Canonical
ACSF3-218,ACSF3,Astrocyte,Dominant,CT_enriched,Canonical
ACSF3-203,ACSF3,Astrocyte,Minor,AD_enriched,Alternate
ADAM15-201,ADAM15,Astrocyte,Minor,CT_enriched,Alternate
ADAR-227,ADAR,Astrocyte,Minor,CT_enriched,Alternate
ADGRA3-203,ADGRA3,Astrocyte,Minor,AD_enriched,Alternate
ADGRA3-202,ADGRA3,Astrocyte,Dominant,CT_enriched,Canonical
AFDN-205,AFDN,Astrocyte,Minor,CT_enriched,Alternate
AKAP8L-239,AKAP8L,Astrocyte,Dominant,CT_enriched,Alternate
ALDH3A2-201,ALDH3A2,Astrocyte,Dominant,CT_enriched,Canonical
ALDH3A2-202,ALDH3A2,Astrocyte,Minor,AD_enriched,Alternate
AMT-212,AMT,Astrocyte,Minor,CT_enriched,Alternate
ANAPC5-201,ANAPC5,Astrocyte,Dominant,CT_enriched,Canonical
ANKRD44-204,ANKRD44,Astrocyte,Minor,AD_enriched,Alternate
ANKRD44-201,ANKRD44,Astrocyte,Dominant,CT_enriched,Canonical
ANXA11-203,ANXA11,Astrocyte,Dominant,CT_enriched,Canonical
ANXA11-202,ANXA11,Astrocyte,Minor,AD_enriched,Alternate
transcript88841.chr2.nic,APLF,Astrocyte,Dominant,CT_enriched,Alternate
ARHGAP29-201,ARHGAP29,Astrocyte,Dominant,CT_enriched,Canonical
ARHGAP29-202,ARHGAP29,Astrocyte,Minor,AD_enriched,Alternate
ARHGEF10L-203,ARHGEF10L,Astrocyte,Minor,AD_enriched,Alternate
ARHGEF26-202,ARHGEF26,Astrocyte,Minor,AD_enriched,Canonical
ARHGEF26-204,ARHGEF26,Astrocyte,Dominant,CT_enriched,Alternate
ARID1B-226,ARID1B,Astrocyte,Minor,AD_enriched,Alternate
ARID4A-202,ARID4A,Astrocyte,Dominant,CT_enriched,Canonical
ARID4B-208,ARID4B,Astrocyte,Dominant,CT_enriched,Alternate
ARID4B-202,ARID4B,Astrocyte,Minor,AD_enriched,Alternate
ASB3-202,ASB3,Astrocyte,Minor,CT_enriched,Alternate
transcript141883.chr17.nic,ASPSCR1,Astrocyte,Dominant,CT_enriched,Alternate
ATF6-210,ATF6,Astrocyte,Minor,AD_enriched,Alternate
ATF6-201,ATF6,Astrocyte,Dominant,CT_enriched,Canonical
ATOSA-216,ATOSA,Astrocyte,Dominant,CT_enriched,Canonical
ATP6V0B-203,ATP6V0B,Astrocyte,Dominant,CT_enriched,Alternate
ATP9B-201,ATP9B,Astrocyte,Dominant,CT_enriched,Alternate
BBS2-211,BBS2,Astrocyte,Minor,CT_enriched,Alternate
BIRC6-201,BIRC6,Astrocyte,Dominant,CT_enriched,Canonical
BLTP1-219,BLTP1,Astrocyte,Dominant,CT_enriched,Alternate
BRAF-204,BRAF,Astrocyte,Dominant,CT_enriched,Alternate
BTBD8-205,BTBD8,Astrocyte,Minor,AD_enriched,Canonical
CCAR1-201,CCAR1,Astrocyte,Dominant,CT_enriched,Canonical
CCDC82-206,CCDC82,Astrocyte,Dominant,CT_enriched,Alternate
CCDC88A-247,CCDC88A,Astrocyte,Dominant,CT_enriched,Alternate
CELF2-209,CELF2,Astrocyte,Minor,AD_enriched,Alternate
CELF2-204,CELF2,Astrocyte,Dominant,CT_enriched,Alternate
CEP68-219,CEP68,Astrocyte,Dominant,CT_enriched,Alternate
CLASP2-207,CLASP2,Astrocyte,Minor,AD_enriched,Alternate
CLASP2-205,CLASP2,Astrocyte,Dominant,CT_enriched,Alternate
CLINT1-201,CLINT1,Astrocyte,Dominant,CT_enriched,Canonical
COG4-201,COG4,Astrocyte,Dominant,CT_enriched,Canonical
COG4-222,COG4,Astrocyte,Minor,AD_enriched,Alternate
COL9A1-201,COL9A1,Astrocyte,Dominant,CT_enriched,Alternate
COPS7A-202,COPS7A,Astrocyte,Dominant,CT_enriched,Alternate
