Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q49A88	CCDC14	Coiled-coil domain-containing protein 14	953					
Q16678	CYP1B1	Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	543		"BINDING 470; /ligand=""heme""; /ligand_id=""ChEBI:CHEBI:30413""; /ligand_part=""Fe""; /ligand_part_id=""ChEBI:CHEBI:18248""; /note=""axial binding residue""; /evidence=""ECO:0000269|PubMed:21147782, ECO:0007744|PDB:3PM0"""			
P29400	COL4A5	Collagen alpha-5(IV) chain	1685	"DOMAIN 1461..1685; /note=""Collagen IV NC1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00736"""				
Q96MW5	COG8	Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8)	612					
Q9NS37	CREBZF ZF	CREB/ATF bZIP transcription factor (Host cell factor-binding transcription factor Zhangfei) (HCF-binding transcription factor Zhangfei)	354	"DOMAIN 204..267; /note=""bZIP"""				
Q9UBF2	COPG2	Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP)	871				"REPEAT 64..101; /note=""HEAT 1""; REPEAT 283..320; /note=""HEAT 2""; REPEAT 321..355; /note=""HEAT 3""; REPEAT 356..392; /note=""HEAT 4""; REPEAT 395..430; /note=""HEAT 5""; REPEAT 467..504; /note=""HEAT 6"""	
Q8TDD1	DDX54	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	881	"DOMAIN 127..299; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 326..473; /note=""Helicase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542"""	"BINDING 140..147; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541"""			
Q6ZWL3	CYP4V2	Cytochrome P450 4V2 (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)	525		"BINDING 329; /ligand=""heme""; /ligand_id=""ChEBI:CHEBI:30413""; /note=""covalent""; /evidence=""ECO:0000250|UniProtKB:P51869""; BINDING 467; /ligand=""heme""; /ligand_id=""ChEBI:CHEBI:30413""; /ligand_part=""Fe""; /ligand_part_id=""ChEBI:CHEBI:18248""; /note=""axial binding residue""; /evidence=""ECO:0000250|UniProtKB:P51869"""			
Q9HAZ1	CLK4	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	481	"DOMAIN 159..475; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""	"BINDING 165..173; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; BINDING 189; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""	"ACT_SITE 286; /note=""Proton acceptor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027"""		
P82279	CRB1	Protein crumbs homolog 1	1406	"DOMAIN 30..68; /note=""EGF-like 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 70..108; /note=""EGF-like 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 110..146; /note=""EGF-like 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 148..184; /note=""EGF-like 4; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 186..222; /note=""EGF-like 5; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 224..260; /note=""EGF-like 6; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 262..299; /note=""EGF-like 7; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 301..337; /note=""EGF-like 8""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 339..395; /note=""EGF-like 9""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 397..439; /note=""EGF-like 10; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 441..481; /note=""EGF-like 11""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 485..670; /note=""Laminin G-like 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00122""; DOMAIN 672..708; /note=""EGF-like 12""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 714..885; /note=""Laminin G-like 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00122""; DOMAIN 887..923; /note=""EGF-like 13""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 924..960; /note=""EGF-like 14""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 950..1137; /note=""Laminin G-like 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00122""; DOMAIN 1139..1175; /note=""EGF-like 15""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 1177..1212; /note=""EGF-like 16; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 1214..1250; /note=""EGF-like 17""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 1255..1295; /note=""EGF-like 18""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 1297..1333; /note=""EGF-like 19; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076"""				
