Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
P04439	HLA-A HLAA	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	365	"DOMAIN 209..295; /note=""Ig-like C1-type""; /evidence=""ECO:0000255"""	"BINDING 31; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705""; BINDING 97; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705""; BINDING 108; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705""; BINDING 140; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""2""; /ligand_note=""self-peptide antigen""; /evidence=""ECO:0000269|PubMed:21543847""; BINDING 167; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705""; BINDING 170; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705""; BINDING 183; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705""; BINDING 183; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""2""; /ligand_note=""self-peptide antigen""; /evidence=""ECO:0000269|PubMed:21543847""; BINDING 195; /ligand=""a peptide antigen""; /ligand_id=""ChEBI:CHEBI:166823""; /ligand_label=""1""; /ligand_note=""pathogen-derived peptide antigen""; /evidence=""ECO:0000269|PubMed:21943705"""			
P21397	MAOA	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	527					
Q8NG08	HELB	DNA helicase B (hDHB) (EC 5.6.2.3) (DNA 5'-3' helicase B)	1087					
O43719	HTATSF1	17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)	755	"DOMAIN 133..218; /note=""RRM 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176""; DOMAIN 264..349; /note=""RRM 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""				
Q9Y5Z7	HCFC2	Host cell factor 2 (HCF-2) (C2 factor)	792	"DOMAIN 359..449; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 583..675; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 677..787; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316"""			"REPEAT 34..79; /note=""Kelch 1""; REPEAT 83..130; /note=""Kelch 2""; REPEAT 207..255; /note=""Kelch 3""; REPEAT 257..303; /note=""Kelch 4"""	
Q9Y5Q9	GTF3C3	General transcription factor 3C polypeptide 3 (Transcription factor IIIC 102 kDa subunit) (TFIIIC 102 kDa subunit) (TFIIIC102) (Transcription factor IIIC subunit gamma) (TF3C-gamma)	886				"REPEAT 149..182; /note=""TPR 1""; REPEAT 183..216; /note=""TPR 2""; REPEAT 217..250; /note=""TPR 3""; REPEAT 252..284; /note=""TPR 4""; REPEAT 290..323; /note=""TPR 5""; REPEAT 326..361; /note=""TPR 6""; REPEAT 421..454; /note=""TPR 7""; REPEAT 456..489; /note=""TPR 8""; REPEAT 491..523; /note=""TPR 9""; REPEAT 733..766; /note=""TPR 10""; REPEAT 811..844; /note=""TPR 11"""	
Q96J02	ITCH	E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1)	903	"DOMAIN 1..115; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 326..359; /note=""WW 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00224""; DOMAIN 358..391; /note=""WW 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00224""; DOMAIN 438..471; /note=""WW 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00224""; DOMAIN 478..511; /note=""WW 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00224""; DOMAIN 569..903; /note=""HECT""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00104"""		"ACT_SITE 871; /note=""Glycyl thioester intermediate""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00104"""		
Q12789	GTF3C1	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	2109					
Q9BSE4	HERPUD2	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	406	"DOMAIN 10..89; /note=""Ubiquitin-like""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00214"""				
Q96ED9	HOOK2	Protein Hook homolog 2 (h-hook2) (hHK2)	719	"DOMAIN 6..122; /note=""Calponin-homology (CH)""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00044"""				
O94927	HAUS5 KIAA0841	HAUS augmin-like complex subunit 5	633					
P18858	LIG1	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	919		"BINDING 566; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:15565146, ECO:0007744|PDB:1X9N""; BINDING 573; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:15565146, ECO:0007744|PDB:1X9N""; BINDING 621; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:15565146, ECO:0007744|PDB:1X9N""; BINDING 621; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000305""; BINDING 720; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""2""; /evidence=""ECO:0000305""; BINDING 725; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:15565146, ECO:0007744|PDB:1X9N""; BINDING 744; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:15565146, ECO:0007744|PDB:1X9N"""	"ACT_SITE 568; /note=""N6-AMP-lysine intermediate""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10135"""		
P40189	IL6ST	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	918	"DOMAIN 26..120; /note=""Ig-like C2-type""; DOMAIN 125..216; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 224..324; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 329..424; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 426..517; /note=""Fibronectin type-III 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 518..613; /note=""Fibronectin type-III 5""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316"""				
P49917	LIG4	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	911	"DOMAIN 654..743; /note=""BRCT 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00033""; DOMAIN 808..911; /note=""BRCT 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00033"""	"BINDING 271; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:P18858""; BINDING 272; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G, ECO:0007744|PDB:3W5O""; BINDING 273; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G, ECO:0007744|PDB:3W5O""; BINDING 274; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G, ECO:0007744|PDB:3W5O""; BINDING 278; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W5O""; BINDING 331; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G""; BINDING 331; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000255""; BINDING 345; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W5O""; BINDING 367; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W5O""; BINDING 427; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G""; BINDING 427; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""2""; /evidence=""ECO:0000255""; BINDING 432; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W5O""; BINDING 449; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G, ECO:0007744|PDB:3W5O""; BINDING 451; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000269|PubMed:23523427, ECO:0007744|PDB:3W1G, ECO:0007744|PDB:3W5O"""	"ACT_SITE 273; /note=""N6-AMP-lysine intermediate""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10135, ECO:0000269|PubMed:23523427, ECO:0000269|PubMed:29980672, ECO:0007744|PDB:3W1B"""		
P17181	IFNAR1 IFNAR	Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)	557	"DOMAIN 32..126; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 127..227; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 231..329; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 331..432; /note=""Fibronectin type-III 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316"""				
P51991	HNRNPA3 HNRPA3	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	378	"DOMAIN 35..118; /note=""RRM 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176""; DOMAIN 126..205; /note=""RRM 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""				
P41252	IARS1 IARS	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)	1262		"BINDING 603; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250"""			
Q969Y2	GTPBP3 MTGP1	5-taurinomethyluridine-[tRNA] synthase subunit GTPB3, mitochondrial (EC 3.6.1.-) (GTP-binding protein 3) (Mitochondrial GTP-binding protein 1) (tRNA modification GTPase GTPBP3, mitochondrial)	492	"DOMAIN 249..416; /note=""TrmE-type G"""	"BINDING 52; /ligand=""5,10-methylenetetrahydrofolate""; /ligand_id=""ChEBI:CHEBI:12071""; /evidence=""ECO:0000305|PubMed:29390138""; BINDING 112; /ligand=""5,10-methylenetetrahydrofolate""; /ligand_id=""ChEBI:CHEBI:12071""; /evidence=""ECO:0000305|PubMed:29390138""; BINDING 152; /ligand=""5,10-methylenetetrahydrofolate""; /ligand_id=""ChEBI:CHEBI:12071""; /evidence=""ECO:0000305|PubMed:29390138""; BINDING 256..263; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 259; /ligand=""K(+)""; /ligand_id=""ChEBI:CHEBI:29103""; /evidence=""ECO:0000250|UniProtKB:P25522""; BINDING 263; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 282..286; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 284; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 303..306; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 374..377; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 397..399; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01046""; BINDING 492; /ligand=""5,10-methylenetetrahydrofolate""; /ligand_id=""ChEBI:CHEBI:12071""; /evidence=""ECO:0000305|PubMed:29390138"""			
