cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,tx_role_mane,candidate_group,ENST_ID,ENSG_ID,transcript_type,biotype_class,has_CDS,canonical_tx,cds_diff_bp,ct_count,multi_ct,ad_prior_category,ad_prior_flag,ad_ot_score,ad_ot_label,ad_ot_genetic,ad_ot_lit,ad_specificity,has_structural_feat,n_domains,domain_names,uniprot_acc,proxy_type,splice_in_cds,composite_score,tier
Oligodendrocyte,MEF2C-217,MEF2C,0.4598930481283422,0.0,1.4968609119392034e-15,1.160754413348514e-14,True,0.4598930481283422,AD_enriched,0.0169830169830169,True,1001.0,86,0,20.3591,0.0,4.4168,Minor,Alternate,new_target_candidate,ENST00000510942,ENSG00000081189,protein_coding,PC_CDS,True,MEF2C-209,24,1,False,gwas,True,0.2149,supported,0.309,0.8593,1.636,False,0,,,D,True,0.7966,1
Inhibitory_neuron,NISCH-202,NISCH,0.813953488372093,0.2814070351758794,4.6456524259761464e-30,1.5874053562214247e-28,True,0.5325464531962136,AD_enriched,0.004,True,10000.0,210,56,73.4479,39.0888,0.893,Minor,Alternate,new_target_candidate,ENST00000420808,ENSG00000010322,protein_coding,PC_CDS,True,NISCH-207,2376,1,False,none,False,0.4271,supported,0.0,0.028,2.778,False,0,,,D,True,0.788,1
Excitatory_neuron,ANO5-208,ANO5,0.5135135135135135,0.0441640378548895,4.117576846533294e-40,2.413716741525674e-38,True,0.469349475658624,AD_enriched,0.0217782217782217,True,5005.0,76,14,16.4108,3.259,2.0314,Minor,Alternate,new_target_candidate,ENST00000682341,ENSG00000171714,protein_coding,PC_CDS,True,ANO5-201,42,1,False,none,False,0.3068,supported,0.5039,0.0122,4.394,False,0,,Q75V66,D,True,0.7163,1
Excitatory_neuron,CAV1-202,CAV1,0.7384615384615385,0.1818181818181818,1.4759323806506352e-08,7.234822650970944e-08,True,0.5566433566433567,AD_enriched,0.0285714285714285,True,70.0,48,6,5.2184,1.3867,1.3815,Minor,Alternate,new_target_candidate,ENST00000393467,ENSG00000105974,protein_coding,PC_CDS,False,CAV1-201,165,1,False,none,False,0.3335,supported,0.518,0.595,3.219,False,0,,,D,True,0.7143,1
Astrocyte,ARHGEF10L-203,ARHGEF10L,0.8188405797101449,0.0053475935828877,6.945295828570074e-66,1.4626793014968577e-63,True,0.8134929861272572,AD_enriched,0.0277777777777777,True,36.0,113,1,45.5957,1.9811,3.9663,Minor,Alternate,new_target_candidate,ENST00000375408,ENSG00000074964,protein_coding,PC_CDS,True,ARHGEF10L-202,813,1,False,none,False,0.2887,supported,0.4734,0.0304,28.872,True,1,DH,Q9HCE6,C,True,0.7129,1
Inhibitory_neuron,SAMHD1-221,SAMHD1,0.0754716981132075,0.556390977443609,7.179664878412102e-22,1.3099984007924736e-20,True,-0.4809192793304014,CT_enriched,0.0209790209790209,True,2002.0,12,74,5.236,28.9221,-2.2625,Dominant,Canonical,trial_failure_candidate,ENST00000646673,ENSG00000101347,protein_coding,PC_CDS,True,SAMHD1-201,105,1,False,none,False,0.2517,supported,0.4107,0.0597,19.824,False,0,,,D,True,0.7095,1
Excitatory_neuron,LARP4-203,LARP4,0.4444444444444444,0.9010989010989012,2.4489442722767e-10,1.500031236896255e-09,True,-0.4566544566544568,CT_enriched,0.0151515151515151,True,1716.0,36,82,4.0955,25.1523,-2.3596,Dominant,Canonical,trial_failure_candidate,ENST00000398473,ENSG00000161813,protein_coding,PC_CDS,True,LARP4-201,213,1,False,none,False,0.2361,supported,0.3867,0.0334,23.61,False,0,,,D,True,0.7072,1
Inhibitory_neuron,KIT-223,KIT,0.3772241992882562,0.0349462365591397,3.226672880768388e-51,3.8706344046323766e-49,True,0.3422779627291165,AD_enriched,0.0,True,126.0,106,26,19.1488,9.988,0.8748,Minor,Alternate,new_target_candidate,ENST00000692783,ENSG00000157404,protein_coding,PC_CDS,True,KIT-201,3,1,False,none,False,0.3706,supported,0.0,0.3326,2.28,False,0,,,D,True,0.7054,1
Oligodendrocyte,transcript113962.chr14.nic,SLC25A29,0.3846153846153846,0.0,8.947701406516476e-21,1.0684337540686124e-19,True,0.3846153846153846,AD_enriched,0.0021645021645021,True,462.0,190,0,36.7,0.0,5.2365,Minor,Alternate,new_target_candidate,transcript113962.chr14.nic,ENSG00000197119,,novel,False,SLC25A29-201,128,1,False,none,False,0.2375,supported,0.3886,0.0182,23.753,False,0,,,D,True,0.7034,1
OPC,ERBB4-204,ERBB4,0.8163265306122449,0.1875,2.4574500181492423e-10,1.180715223951838e-09,True,0.6288265306122449,AD_enriched,0.0285714285714285,True,70.0,40,6,35.3909,3.8564,2.9056,Minor,Alternate,new_target_candidate,ENST00000436443,ENSG00000178568,protein_coding,PC_CDS,True,ERBB4-202,48,2,True,none,False,0.1013,emerging,0.0,0.8328,0.291,False,0,,,D,True,0.6981,1
