gene_name,alt_transcript_name,cell_type,alt_span_start,alt_span_end,n_aligned_residues,global_rmsd_angstrom,altered_mean_displacement_angstrom,outside_mean_displacement_angstrom,altered_colabfold_plddt,altered_esmfold_plddt,status
SYNJ2,SYNJ2-205,Oligodendrocyte,2.0,136.0,136.0,17.08729358048089,15.786007126260587,18.414362060334778,59.162444444444446,32.303703703703704,plotted
BIRC6,BIRC6-213,Astrocyte,,,,,,,,,missing ESMFold
GAPVD1,GAPVD1-204,Oligodendrocyte,481.0,497.0,497.0,14.314733780981301,31.861859726323125,10.22762958845597,35.622352941176466,33.1764705882353,plotted
SYNJ2,SYNJ2-202,Oligodendrocyte,2.0,68.0,581.0,38.93752839452924,30.119406011342186,36.58337110445015,90.17134328358209,76.5223880597015,plotted
TUT7,TUT7-201,Astrocyte,3.0,36.0,784.0,37.39644576323329,45.646694874484155,26.65332446421863,27.191764705882353,55.26470588235294,plotted
SPG7,SPG7-223,Astrocyte,1.0,102.0,102.0,28.448971098071816,24.918030503464088,,64.14666666666668,37.80392156862745,plotted
STAT3,STAT3-213,Astrocyte,1.0,95.0,95.0,26.492465662124726,23.990528516791308,,51.75936842105263,43.89473684210526,plotted
DCLK1,DCLK1-205,Inhibitory_neuron,2.0,56.0,56.0,22.15518094036497,20.179750948250106,39.813801299917984,64.71472727272727,50.36363636363637,plotted
RGS12,RGS12-202,OPC,2.0,44.0,799.0,46.44539828451031,55.024639945132485,41.32444944201661,35.64023255813954,53.97674418604651,plotted
HGF,HGF-211,Inhibitory_neuron,161.0,161.0,161.0,8.399801109386615,34.91297344914836,6.131710510991006,77.5,49.0,plotted
HGF,HGF-205,Inhibitory_neuron,209.0,210.0,210.0,3.74700649339392,2.521843599092942,3.156175807186545,42.93,67.0,plotted
PAPOLA,PAPOLA-225,OPC,204.0,238.0,238.0,11.158289981440033,9.390904685143695,9.37013462888731,38.908,46.42857142857143,plotted
ARID4A,ARID4A-204,Astrocyte,2.0,748.0,748.0,48.54265807906266,44.630584546863524,25.53925871434824,49.775194109772436,54.429718875502004,plotted
RBL2,RBL2-203,Astrocyte,2.0,639.0,639.0,11.678905326046745,6.909844801140647,2.1876379672603132,74.59180250783699,77.19435736677116,plotted
KMT5B,KMT5B-206,OPC,392.0,393.0,393.0,27.90762461797962,77.47817192740776,22.518617065524055,40.155,83.5,plotted
