gene_name,alt_transcript_name,cell_type,n_changed,changed_aa_start,changed_aa_end,assessment_status,verdict,region_mean_plddt,whole_protein_mean_plddt,region_vs_rest_mean_pae,region_length,ensemble_spread_rmsd,colabfold_vs_esmfold_rmsd,n_ensemble_models,changed_region_mean_local_dist,changed_region_max_local_dist,outside_span_mean_local_dist,anchor_fit_rmsd,n_anchor_residues,error
DOCK10,DOCK10-202,Microglia,34,2,41,scored,low,28.1,71.19,28.38,34.0,,,1.0,37.87,69.2,12.95,15.446,2152.0,
IFNAR2,IFNAR2-204,Inhibitory_neuron,201,281,515,scored,low,36.54,71.92,29.05,51.0,4.692,14.731,5.0,59.18,90.36,11.73,25.33,314.0,
SORT1,SORT1-209,Excitatory_neuron,138,2,279,scored,high,90.82,84.5,10.52,141.0,0.13,0.835,5.0,5.49,46.19,6.7,9.729,693.0,
PRKD1,PRKD1-202,Inhibitory_neuron,1,232,232,scored,low,32.09,67.11,28.1,1.0,0.0,0.0,5.0,71.94,71.94,20.87,26.1,912.0,
TUT7,TUT7-201,Astrocyte,711,3,747,scored,low,27.19,64.85,28.29,34.0,9.502,9.842,5.0,64.32,92.49,28.87,37.148,784.0,
TNIK,TNIK-201,Oligodendrocyte,8,795,803,scored,low,28.72,60.66,27.62,1.0,0.0,,5.0,53.35,53.35,41.74,49.94,1352.0,
SOD2,SOD2-206,Vascular_cell,114,77,222,scored,low,48.03,64.41,22.58,64.0,1.946,15.826,5.0,20.65,39.23,7.4,14.29,108.0,
ARID4A,ARID4A-204,Astrocyte,509,2,1257,scored,low,49.78,49.82,25.22,747.0,32.839,48.566,5.0,36.36,83.4,39.79,40.489,748.0,
PRKG2,PRKG2-207,Excitatory_neuron,29,442,470,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
HGF,HGF-211,Inhibitory_neuron,567,161,728,scored,high,77.5,84.69,18.59,1.0,0.0,0.0,5.0,15.1,15.1,4.47,5.403,161.0,
DCLK1,DCLK1-201,Inhibitory_neuron,44,687,740,scored,low,27.59,66.59,28.22,43.0,12.58,12.793,5.0,34.33,65.94,28.36,35.607,696.0,
HTRA1,HTRA1-202,OPC,259,1,268,scored,high,84.23,86.01,15.89,9.0,0.064,0.906,5.0,28.87,75.2,3.76,7.974,221.0,
MLST8,MLST8-202,Inhibitory_neuron,1,44,44,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
SRSF10,SRSF10-204,Astrocyte,86,165,262,scored,low,37.09,56.73,27.83,19.0,4.387,6.765,5.0,43.71,63.56,17.64,25.118,176.0,
STAT3,STAT3-213,Astrocyte,694,1,770,scored,low,51.76,51.76,,95.0,12.312,26.492,5.0,27.75,71.56,,29.892,76.0,
