cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,tx_role_mane,candidate_group,ENST_ID,ENSG_ID,transcript_type,biotype_class,junior_pass,has_CDS,canonical_tx,cds_diff_bp,ct_count,multi_ct,ad_prior_category,ad_prior_flag,ad_ot_score,ad_ot_label,ad_ot_genetic,ad_ot_lit,ad_specificity,has_structural_feat,n_domains,domain_names,uniprot_acc,proxy_type,splice_in_cds
Astrocyte,ACAD9-201,ACAD9,0.55,0.9081803005008348,7.329248194165798e-49,5.512641677468984e-47,True,-0.3581803005008347,CT_enriched,0.0404040404040404,True,792.0,22,544,25.2895,908.2117,-5.1121,Dominant,Canonical,trial_failure_candidate,ENST00000308982,ENSG00000177646,protein_coding,PC_CDS,True,True,ACAD9-201,0,1,False,none,False,0.0179,novel,0.0,0.1473,0.961,False,0,,Q9H845,D,False
Astrocyte,ACSF3-218,ACSF3,0.032258064516129,0.6290322580645161,3.913650590533071e-12,2.2096911913304687e-11,True,-0.5967741935483871,CT_enriched,0.0357142857142857,True,84.0,2,39,2.3872,45.9502,-3.7929,Dominant,Canonical,trial_failure_candidate,ENST00000614302,ENSG00000176715,protein_coding,PC_CDS,True,True,ACSF3-218,0,1,False,none,False,0.0,novel,0.0,0.0,0.0,False,0,,Q4G176,D,False
Astrocyte,ADGRA3-202,ADGRA3,0.159533073929961,0.7731958762886598,2.1163409087653547e-27,4.285590340249844e-26,True,-0.6136628023586989,CT_enriched,0.0309690309690309,True,2002.0,41,75,61.1181,68.2576,-0.157,Dominant,Canonical,trial_failure_candidate,ENST00000334304,ENSG00000152990,protein_coding,PC_CDS,True,True,ADGRA3-202,0,1,False,none,False,0.3123,supported,0.5108,0.0,24.796,True,3,"LRRCT, Ig-like, GAIN-B",Q8IWK6,C,False
Astrocyte,ALDH3A2-201,ALDH3A2,0.3714285714285714,0.9659090909090908,1.469009148539404e-11,7.852114890416204e-11,True,-0.5944805194805194,CT_enriched,0.0178571428571428,True,56.0,13,85,14.8771,164.8372,-3.3848,Dominant,Canonical,trial_failure_candidate,ENST00000176643,ENSG00000072210,protein_coding,PC_CDS,True,True,ALDH3A2-201,0,1,False,none,False,0.0347,novel,0.0,0.2774,2.448,False,0,,P51648,D,False
Astrocyte,ALDH3A2-202,ALDH3A2,0.3714285714285714,0.0227272727272727,1.469009148539404e-11,7.852114890416204e-11,True,0.3487012987012987,AD_enriched,0.0178571428571428,True,56.0,13,2,35.609,5.3902,2.5183,Minor,Alternate,new_target_candidate,ENST00000339618,ENSG00000072210,protein_coding,PC_UTR,True,True,ALDH3A2-201,0,1,False,none,False,0.0347,novel,0.0,0.2774,2.448,False,0,,P51648,N,False
Astrocyte,ANAPC5-201,ANAPC5,0.3676470588235294,0.8483606557377049,3.3785744838829973e-16,2.834772056995057e-15,True,-0.4807135969141755,CT_enriched,0.0215617715617715,True,1716.0,25,207,31.4515,308.5809,-3.254,Dominant,Canonical,trial_failure_candidate,ENST00000261819,ENSG00000089053,protein_coding,PC_CDS,True,True,ANAPC5-201,0,2,True,none,False,0.0044,novel,0.0,0.0365,0.443,False,0,,Q9UJX4,D,False
Astrocyte,ANKRD44-204,ANKRD44,0.2631578947368421,0.0,7.276415563779133e-13,4.441777152846045e-12,True,0.2631578947368421,AD_enriched,0.0,True,6.0,10,0,9.9743,0.0,3.4561,Minor,Alternate,new_target_candidate,ENST00000409919,ENSG00000065413,protein_coding,PC_CDS,True,True,ANKRD44-201,1938,1,False,none,False,0.0052,novel,0.0,0.0,0.518,False,0,,Q8N8A2,D,True
Astrocyte,ANKRD44-201,ANKRD44,0.2105263157894736,0.967741935483871,7.276415563779133e-13,4.441777152846045e-12,True,-0.7572156196943974,CT_enriched,0.0,True,6.0,8,60,9.1027,20.9355,-1.1185,Dominant,Canonical,trial_failure_candidate,ENST00000282272,ENSG00000065413,protein_coding,PC_CDS,True,True,ANKRD44-201,0,1,False,none,False,0.0052,novel,0.0,0.0,0.518,False,0,,Q8N8A2,D,False
Astrocyte,ANXA11-203,ANXA11,0.0505050505050505,0.8064516129032258,2.3827484682571305e-17,2.181768814847616e-16,True,-0.7559465623981753,CT_enriched,0.0357142857142857,True,28.0,5,25,7.1818,20.1484,-1.3701,Dominant,Canonical,trial_failure_candidate,ENST00000422982,ENSG00000122359,protein_coding,PC_CDS,True,True,ANXA11-203,0,1,False,none,False,0.0759,emerging,0.0,0.2773,0.159,False,0,,P50995,D,False
Astrocyte,ANXA11-202,ANXA11,0.9494949494949496,0.1935483870967742,2.3827484682571305e-17,2.181768814847616e-16,True,0.7559465623981754,AD_enriched,0.0357142857142857,True,28.0,94,6,70.0368,20.5215,1.7228,Minor,Alternate,new_target_candidate,ENST00000372231,ENSG00000122359,protein_coding,PC_UTR,True,True,ANXA11-203,0,1,False,none,False,0.0759,emerging,0.0,0.2773,0.159,False,0,,P50995,N,False
Astrocyte,ARHGAP29-201,ARHGAP29,0.5363636363636364,0.9302325581395348,3.368561736500021e-05,8.878837317983784e-05,True,-0.3938689217758984,CT_enriched,0.0,True,495.0,118,40,52.1338,65.0027,-0.3129,Dominant,Canonical,trial_failure_candidate,ENST00000260526,ENSG00000137962,protein_coding,PC_CDS,True,True,ARHGAP29-201,0,3,True,none,False,0.0015,novel,0.0,0.0122,0.148,True,2,"F-BAR, Rho-GAP",Q52LW3,C,False
Astrocyte,ARHGAP29-202,ARHGAP29,0.3909090909090909,0.0697674418604651,3.368561736500021e-05,8.878837317983784e-05,True,0.3211416490486257,AD_enriched,0.0404040404040404,True,495.0,86,3,59.928,1.0468,4.8957,Minor,Alternate,new_target_candidate,ENST00000370217,ENSG00000137962,protein_coding,PC_CDS,True,True,ARHGAP29-201,1951,1,False,none,False,0.0015,novel,0.0,0.0122,0.148,True,2,"F-BAR, Rho-GAP",Q52LW3,C,True
Astrocyte,ARHGEF10L-203,ARHGEF10L,0.8188405797101449,0.0053475935828877,6.945295828570074e-66,1.4626793014968577e-63,True,0.8134929861272572,AD_enriched,0.0277777777777777,True,36.0,113,1,45.5957,1.9811,3.9663,Minor,Alternate,new_target_candidate,ENST00000375408,ENSG00000074964,protein_coding,PC_CDS,True,True,ARHGEF10L-202,813,1,False,none,False,0.2887,supported,0.4734,0.0304,28.872,True,1,DH,Q9HCE6,C,True
Astrocyte,ARID4A-202,ARID4A,0.2125,0.8461538461538461,1.9129766498050868e-09,8.340559636694771e-09,True,-0.6336538461538461,CT_enriched,0.0202020202020202,True,495.0,17,33,17.9832,38.8206,-1.0688,Dominant,Canonical,trial_failure_candidate,ENST00000355431,ENSG00000032219,protein_coding,PC_CDS,True,True,ARID4A-202,0,1,False,none,False,0.0018,novel,0.0,0.0152,0.176,True,2,"ARID, Tudor-knot",P29374,C,False
