gene_name,ENSG_ID,n_hit_transcripts,n_hit_cell_types,max_abs_delta_usage,min_permutation_pval,best_proxy_type,ad_prior_category,ad_ot_score,ad_ot_label,has_structural_feat,domain_names,any_junior_pass
ZNF558,ENSG00000167785,1,1,0.9209302325581395,0.0079365079365079,N,none,0.0,novel,False,,True
ICA1L,ENSG00000163596,1,1,0.9061375449820072,0.0,N,none,0.1789,emerging,False,,True
CLUH,ENSG00000132361,2,1,0.8934911242603552,0.0476190476190476,D,none,0.0,novel,False,,True
ZFAND3,ENSG00000156639,1,1,0.8901098901098901,0.0357142857142857,D,none,0.0,novel,False,,True
DKC1,ENSG00000130826,1,1,0.8635449057984269,0.0277777777777777,N,none,0.0099,novel,False,,True
EDEM3,ENSG00000116406,3,1,0.8580246913580247,0.0,NMD,none,0.0,novel,False,,True
SIRT7,ENSG00000187531,1,1,0.8532887402452621,0.0357142857142857,N,none,0.0,novel,False,,True
ADAMTS10,ENSG00000142303,1,1,0.8482517482517483,0.0142857142857142,C,none,0.0049,novel,True,"Peptidase M12B, Disintegrin, TSP type-1 1",True
NCOA6,ENSG00000198646,2,2,0.8444767441860466,0.0,D,none,0.0,novel,False,,True
CRAT,ENSG00000095321,1,1,0.8443051201671892,0.0,N,none,0.2539,supported,False,,True
CRTAC1,ENSG00000095713,2,1,0.8395534290271133,0.0476190476190476,D,none,0.0,novel,False,,True
PALS1,ENSG00000072415,3,3,0.8333333333333334,0.0178710178710178,N,none,0.0,novel,False,,True
DIDO1,ENSG00000101191,1,1,0.8270255863539446,0.0476190476190476,D,none,0.0074,novel,False,,True
SLC25A36,ENSG00000114120,2,1,0.8213349641796261,0.0119880119880119,D,none,0.0,novel,False,,True
ARHGEF10L,ENSG00000074964,1,1,0.8134929861272572,0.0277777777777777,C,none,0.2887,supported,True,DH,True
NLGN4Y,ENSG00000165246,1,1,0.8110572812767171,0.0476190476190476,D,none,0.0,novel,False,,True
MASP1,ENSG00000127241,1,1,0.8100289296046287,0.0151515151515151,D,none,0.0,novel,False,,True
SLC6A1,ENSG00000157103,2,2,0.8098168949069088,0.0,N,none,0.2778,supported,False,,True
FAM13A,ENSG00000138640,2,1,0.8091730833612321,0.0333333333333333,D,none,0.0,novel,False,,True
