Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
A2RU14	TMEM218	Transmembrane protein 218	115					
P21980	TGM2	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	687		"BINDING 398; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /evidence=""ECO:0000250|UniProtKB:P00488""; BINDING 400; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /evidence=""ECO:0000250|UniProtKB:P00488""; BINDING 437; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /evidence=""ECO:0000305|PubMed:31991788""; BINDING 447; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /evidence=""ECO:0000250|UniProtKB:P00488""; BINDING 452; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /evidence=""ECO:0000250|UniProtKB:P00488""; BINDING 476..483; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000269|PubMed:25192068, ECO:0000269|PubMed:30321187, ECO:0000269|PubMed:31991788, ECO:0000305|PubMed:11867708, ECO:0000305|PubMed:20450932, ECO:0007744|PDB:1KV3, ECO:0007744|PDB:3LY6, ECO:0007744|PDB:4PYG, ECO:0007744|PDB:6A8P, ECO:0007744|PDB:6KZB""; BINDING 539; /ligand=""Ca(2+)""; /ligand_id=""ChEBI:CHEBI:29108""; /evidence=""ECO:0000305|PubMed:31991788""; BINDING 580..583; /ligand=""GTP""; /ligand_id=""ChEBI:CHEBI:37565""; /evidence=""ECO:0000269|PubMed:25192068, ECO:0000269|PubMed:30321187, ECO:0000269|PubMed:31991788, ECO:0000305|PubMed:11867708, ECO:0000305|PubMed:20450932, ECO:0007744|PDB:1KV3, ECO:0007744|PDB:3LY6, ECO:0007744|PDB:4PYG, ECO:0007744|PDB:6A8P, ECO:0007744|PDB:6KZB"""	"ACT_SITE 277; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10024, ECO:0000305|PubMed:7649299, ECO:0000305|PubMed:8943303""; ACT_SITE 335; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10024""; ACT_SITE 358; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10024"""		
P31946	YWHAB	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	246					
O14787	TNPO2	Transportin-2 (Karyopherin beta-2b)	897	"DOMAIN 31..99; /note=""Importin N-terminal"""			"REPEAT 9..36; /note=""HEAT 1""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 41..79; /note=""HEAT 2""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 88..121; /note=""HEAT 3""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 127..164; /note=""HEAT 4""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 171..201; /note=""HEAT 5""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 214..241; /note=""HEAT 6""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 253..280; /note=""HEAT 7""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 296..386; /note=""HEAT 8""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 394..422; /note=""HEAT 9""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 434..461; /note=""HEAT 10""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 475..508; /note=""HEAT 11""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 516..549; /note=""HEAT 12""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 557..595; /note=""HEAT 13""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 603..654; /note=""HEAT 14""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 665..696; /note=""HEAT 15""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 704..737; /note=""HEAT 16""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 745..790; /note=""HEAT 17""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 798..831; /note=""HEAT 18""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 840..871; /note=""HEAT 19""; /evidence=""ECO:0000250|UniProtKB:Q92973""; REPEAT 874..894; /note=""HEAT 20""; /evidence=""ECO:0000250|UniProtKB:Q92973"""	
P02786	TFRC	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (Transferrin receptor 1) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	760	"DOMAIN 223..313; /note=""PA"""				
O94782	USP1	Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (hUBP) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1) [Cleaved into: Ubiquitin carboxyl-terminal hydrolase 1, N-terminal fragment]	785	"DOMAIN 81..785; /note=""USP"""		"ACT_SITE 90; /note=""Nucleophile""; /evidence=""ECO:0000269|PubMed:15694335, ECO:0000269|PubMed:16531995, ECO:0000269|PubMed:26388029""; ACT_SITE 593; /note=""Proton acceptor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10092, ECO:0000255|PROSITE-ProRule:PRU10093"""		
Q13009	TIAM1	Rho guanine nucleotide exchange factor TIAM1 (T-lymphoma invasion and metastasis-inducing protein 1) (TIAM-1)	1591	"DOMAIN 434..549; /note=""PH 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 765..832; /note=""RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 845..908; /note=""PDZ""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00143""; DOMAIN 1040..1234; /note=""DH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00062""; DOMAIN 1261..1397; /note=""PH 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145"""				
Q8WUH2	TGFBRAP1	Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1)	860	"DOMAIN 24..297; /note=""CNH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00795"""			"REPEAT 564..728; /note=""CHCR"""	
P45379	TNNT2	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	298					
Q9HBM0	VEZT	Vezatin	779					
