model,canonical_length,alternate_length,alignment_score,domain_anchor_ca_rmsd_A,n_interface_residues,interface_ca_displacement_mean_A,interface_ca_displacement_max_A,interface_mean_plddt,deletion_neighbor_mean_plddt
alt_3a0926d056318a13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_004.pdb,465,460,910.0,0.47514448336694076,22,0.2701851785099485,0.7538098552790691,94.49954545454544,51.284375
alt_3a0926d056318a13_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_003.pdb,465,460,910.0,0.5368571154477354,22,0.25922422359402214,0.7685812855075181,94.48772727272727,51.25625
alt_3a0926d056318a13_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_002.pdb,465,460,910.0,0.4896521521679705,22,0.2465840744331013,0.6790105408979716,94.45545454545454,51.56
alt_3a0926d056318a13_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_001.pdb,465,460,910.0,0.574916834105071,22,0.2675726310404849,0.7951622090293585,94.41772727272725,49.81125
alt_3a0926d056318a13_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,465,460,910.0,0.5227883121442424,22,0.26369820975929714,0.6919582458441516,94.5,50.946875
