cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,gene_log2FC,gene_padj,dge_class,scenario_code,scenario_name,priority,dge_source
Astrocyte,ACAD9-201,ACAD9,0.55,0.9081803005008348,7.329248194165798e-49,5.512641677468985e-47,True,-0.3581803005008347,CT_enriched,0.0404040404040404,True,792.0,22,544,25.2895,908.2117,-5.1121,Dominant,0.430402158479667,0.463934730975591,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ACSF3-218,ACSF3,0.032258064516129,0.6290322580645161,3.913650590533071e-12,2.2096911913304687e-11,True,-0.5967741935483871,CT_enriched,0.0357142857142857,True,84.0,2,39,2.3872,45.9502,-3.7929,Dominant,-0.162334882164786,0.784948632588732,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ACSF3-203,ACSF3,0.9193548387096774,0.3064516129032258,3.913650590533071e-12,2.2096911913304687e-11,True,0.6129032258064515,AD_enriched,0.0357142857142857,True,84.0,57,19,74.3822,19.1403,1.9041,Minor,-0.162334882164786,0.784948632588732,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ADAM15-201,ADAM15,0.0,0.2368421052631578,0.0003997638976396,0.0009161074738075,True,-0.2368421052631578,CT_enriched,0.0178571428571428,True,56.0,0,9,0.0,8.9427,-3.3136,Minor,0.393257955374629,0.79662319451367,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,ADAR-227,ADAR,0.1764705882352941,0.46875,6.923696347325095e-12,3.827114043954501e-11,True,-0.2922794117647059,CT_enriched,0.0471,True,10000.0,42,75,49.2983,206.7194,-2.0461,Minor,0.053318179395823,0.90894174412274,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,ADGRA3-203,ADGRA3,0.8404669260700389,0.2268041237113402,2.1163409087653547e-27,4.285590340249844e-26,True,0.6136628023586987,AD_enriched,0.0319680319680319,True,2002.0,216,22,217.3338,55.6992,1.9451,Minor,0.26008790227797,0.352588769058204,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ADGRA3-202,ADGRA3,0.159533073929961,0.7731958762886598,2.1163409087653547e-27,4.285590340249844e-26,True,-0.6136628023586989,CT_enriched,0.0309690309690309,True,2002.0,41,75,61.1181,68.2576,-0.157,Dominant,0.26008790227797,0.352588769058204,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,AFDN-205,AFDN,0.1020408163265306,0.3055555555555556,0.0023865724534313,0.0048561561226341,True,-0.2035147392290249,CT_enriched,0.0363636363636363,True,55.0,5,11,4.8217,9.6327,-0.869,Minor,0.162943921035438,0.555789408102042,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,AKAP8L-239,AKAP8L,0.0747422680412371,0.5673076923076923,2.870462857723094e-42,1.40585925078252e-40,True,-0.4925654242664552,CT_enriched,0.0464646464646464,True,495.0,29,59,33.6743,39.626,-0.2285,Dominant,0.445200592905641,0.270928086331919,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ALDH3A2-201,ALDH3A2,0.3714285714285714,0.9659090909090908,1.469009148539404e-11,7.852114890416204e-11,True,-0.5944805194805194,CT_enriched,0.0178571428571428,True,56.0,13,85,14.8771,164.8372,-3.3848,Dominant,0.350431369718673,0.505736222456783,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
